form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00699785,B-271014,,,ORG,ANEDOT,,,,,,555 HILTON AVENUE,SUITE 106,BATON ROUGE,LA,70808,,,2023-12-31,3639.97,,MERCHANT FEES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276139,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-07-05,15.89,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276137,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-07-19,16.79,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276136,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-07-24,28.77,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276134,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-07-31,16.79,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276135,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-07-31,15.89,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276133,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-08-03,53.63,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276131,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-08-14,15.89,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276130,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-08-15,28.77,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276129,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-08-17,85.21,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276127,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-10-04,55.58,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276126,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-10-06,17.00,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276125,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-10-10,29.87,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276123,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-10-17,19.98,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276121,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-10-18,32.96,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00699785,B-276118,,,ORG,AOP PLUS,,,,,,2035 SUNSET LAKE ROAD,SUITE B,NEWARK,DE,19702,,,2023-10-23,18.98,,MERCHANDISE,001,,,,,,,,,,,,,,,,,,,
