form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00001016,500077328,,,CCM,Andre Carson For Congress,,,,,,PO Box 1863,,Indianapolis,IN,462061863,G2024,,2024-08-08,5000.00,0.00,Contribution,,C00442921,,,CARSON,ANDRE,,,,H,IN,07,,,,,,,,
SB23,C00001016,500077332,,,CCM,BERA FOR CONGRESS,,,,,,PO Box 582496,,Elk Grove,CA,957580042,G2024,,2024-08-08,5000.00,0.00,Contribution,,C00461061,,,BERA,AMERISH,,,,H,CA,06,,,,,,,,
SB23,C00001016,500078529,,,CCM,BOB CASEY FOR SENATE INC,,,,,,30 S 15Th St,Ste 400,Philadelphia,PA,191024826,G2024,,2024-08-29,5000.00,0.00,Contribution,,C00431056,,,CASEY,ROBERT,P,,JR,S,PA,,,,,,,,,
SB23,C00001016,500077326,,,PAC,BUDWINSKI PAC,,,,,,600 Pennsylvania Ave SE,Unit 15180,Washington,DC,200037508,,,2024-08-08,5000.00,0.00,Contribution,,C00840462,BUDWINSKI PAC,,,,,,,,,,,,,,,,,
SB23,C00001016,500077625,,,CCM,CHUY GARCIA FOR CONGRESS,,,,,,3520 S Archer Ave,,Chicago,IL,606091104,G2024,,2024-08-13,5000.00,0.00,Contribution,,C00661777,,,GARCIA,JESUS,,,,H,IL,04,,,,,,,,
SB23,C00001016,500077620,,,CCM,COMMITTEE TO ELECT JARED GOLDEN,,,,,,PO Box 7108,,Lewiston,ME,042437108,G2024,,2024-08-13,5000.00,0.00,Contribution,,C00653816,,,GOLDEN,JARED,,,,H,ME,02,,,,,,,,
SB23,C00001016,500077621,,,CCM,FRIENDS OF JAHANA HAYES,,,,,,PO Box 1487,,Waterbury,CT,067211487,G2024,,2024-08-13,5000.00,0.00,Contribution,,C00677898,,,HAYES,JAHANA,,,,H,CT,05,,,,,,,,
SB23,C00001016,500077623,,,CCM,Friends Of Rosa Delauro,,,,,,12 Trumbull St,Apt 2,New Haven,CT,065116311,G2024,,2024-08-13,5000.00,0.00,Contribution,,C00238865,,,DeLauro,Rosa,L.,,,H,CT,03,,,,,,,,
SB23,C00001016,500077622,,,CCM,GABE AMO FOR CONGRESS,,,,,,PO Box 40457,,Providence,RI,029400457,G2024,,2024-08-13,5000.00,0.00,Contribution,,C00838060,,,AMO,GABRIEL,F,,,H,RI,01,,,,,,,,
SB23,C00001016,500077334,,,CCM,GARAMENDI FOR CONGRESS,,,,,,3605 Long Beach Blvd,Ste 426,Long Beach,CA,908076010,G2024,,2024-08-08,5000.00,0.00,Contribution,,C00462697,,,Garamendi,John,,,,H,CA,08,,,,,,,,
SB23,C00001016,500078477,,,CCM,GEORGE LATIMER FOR CONGRESS,,,,,,PO Box 789,,White Plains,NY,106020789,G2024,,2024-08-27,5000.00,0.00,Contribution,,C00859041,,,LATIMER,GEORGE,,,,H,NY,16,,,,,,,,
SB23,C00001016,500077329,,,CCM,HUFFMAN FOR CONGRESS,,,,,,PO Box 151563,,San Rafael,CA,949151563,G2024,,2024-08-08,5000.00,0.00,Contribution,,C00536680,,,HUFFMAN,JARED,,,,H,CA,02,,,,,,,,
SB23,C00001016,500077342,,,CCM,JIM COSTA FOR CONGRESS,,,,,,2037 W Bullard Ave,# 355,Fresno,CA,937111200,G2024,,2024-08-08,5000.00,0.00,Contribution,,C00391029,,,Costa,Jim,,,,H,CA,21,,,,,,,,
