form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00607861,SB21B.6633,,,ORG,Authorize.net,,,,,,P.O. Box 8999,,San Francisco,CA,94128,,,2024-06-04,35.50,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00607861,SB21B.6625,,,ORG,City National Bank,,,,,,400 North Roxbury Drive,,Beverly Hills,CA,90210,,,2024-04-16,10.00,,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00607861,SB21B.6626,,,ORG,City National Bank,,,,,,400 North Roxbury Drive,,Beverly Hills,CA,90210,,,2024-04-30,5.00,,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00607861,SB21B.6627,,,ORG,City National Bank,,,,,,400 North Roxbury Drive,,Beverly Hills,CA,90210,,,2024-04-30,7.00,,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00607861,SB21B.6630,,,ORG,City National Bank,,,,,,400 North Roxbury Drive,,Beverly Hills,CA,90210,,,2024-05-16,10.00,,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00607861,SB21B.6631,,,ORG,City National Bank,,,,,,400 North Roxbury Drive,,Beverly Hills,CA,90210,,,2024-05-31,7.00,,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00607861,SB21B.6637,,,ORG,City National Bank,,,,,,400 North Roxbury Drive,,Beverly Hills,CA,90210,,,2024-05-31,5.00,,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00607861,SB21B.6634,,,ORG,City National Bank,,,,,,400 North Roxbury Drive,,Beverly Hills,CA,90210,,,2024-06-18,10.00,,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00607861,SB21B.6635,,,ORG,City National Bank,,,,,,400 North Roxbury Drive,,Beverly Hills,CA,90210,,,2024-06-28,5.00,,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00607861,SB21B.6636,,,ORG,City National Bank,,,,,,400 North Roxbury Drive,,Beverly Hills,CA,90210,,,2024-06-28,7.00,,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00607861,SB21B.6623,,,ORG,Elavon Merchant Services,,,,,,7300 Chapman Highway,,Knoxville,TN,37920,,,2024-04-01,88.02,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00607861,SB21B.6628,,,ORG,Elavon Merchant Services,,,,,,7300 Chapman Highway,,Knoxville,TN,37920,,,2024-05-01,88.00,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00607861,SB21B.6632,,,ORG,Elavon Merchant Services,,,,,,7300 Chapman Highway,,Knoxville,TN,37920,,,2024-06-03,88.19,,Merchant Fee,,,,,,,,,,,,,,,,,,,,
