form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21b,C00781039,B7765479930DB433DA5C,,,ORG,Actblue Technical Services,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-05-05,0.40,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00781039,B88F343B835D24E958C2,,,ORG,Actblue Technical Services,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-05-05,2237.07,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00781039,B61561C345BC44AC7AD5,,,ORG,Bluefoot Political LLC,,,,,,644 N State St,Ste 3,Lake Oswego,OR,970342408,,,2024-05-08,29353.00,,Digital Consulting,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00781039,B82D984970B6A4AE1A08,,,ORG,Actblue Technical Services,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-05-12,808.82,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00781039,B0F3B9774B9174BA1B50,,,ORG,MBA Consulting Group,,,,,,611 Pennsylvania Ave SE,Num 143,Washington,DC,200034303,,,2024-05-13,2500.00,,Accounting & Compliance Consulting,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00781039,B682A8A3D78454CD8B78,,,ORG,Scale To Win,,,,,,13742 Harper St,,Santa Ana,CA,927031419,,,2024-05-14,166015.99,,Software Subscription,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00781039,B6D4E5D8047454A0E8CA,,,ORG,PACtion Data Inc.,,,,,,5029 38th Street N.,,Arlington,VA,222072845,,,2024-05-17,53137.20,,Data Services,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00781039,BE66E72220E04422EBE3,,,ORG,Actblue Technical Services,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-05-19,2428.13,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00781039,BC715DFF9D70B4735B6B,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-05-24,125.75,,Bank Fee,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00781039,BAEF119FEBFEA4CF19AC,,,ORG,Actblue Technical Services,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-05-26,3514.21,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00781039,B35DDC326282E4A74980,,,ORG,Actblue Technical Services,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-05-26,1.39,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00781039,BF3D1265E36B74D959A9,,,ORG,Caplin & Drysdale,,,,,,1 Thomas Cir. NW,Ste 1100,Washington,DC,200055812,,,2024-05-29,276.00,,Legal Services,001,,,,,,,,,,,,,,,,,,,,
SB21b,C00781039,B3243F74E78B0486DBE0,,,ORG,Actblue Technical Services,,,,,,366 Summer Street,,Somerville,MA,021443132,,,2024-05-31,14696.88,,Credit Card Processing Fee,001,,,,,,,,,,,,,,,,,,,,
