form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00834507,SB21B.5221,,,ORG,American Airlines,,,,,,4255 Amon Carter Boulevard,,Ft Worth,TX,76155,,,2024-12-23,901.94,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.5222,,,ORG,Anedot,,,,,,1340 Poydras St,Ste 1770,New Orleans,LA,70112,,,2024-12-03,341.80,,PAC Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.5223,,,ORG,Anedot,,,,,,1340 Poydras St,Ste 1770,New Orleans,LA,70112,,,2024-12-31,140.60,,PAC Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.5227,,,ORG,Del Friscos,,,,,,950 I St NW Suite 501,,Washington,DC,20001,,,2024-12-11,91.50,,PAC Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.5228,,,ORG,Delta Airlines,,,,,,1030 Delta Boulevard,,Atlanta,GA,30354,,,2024-12-04,663.96,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.5229,,,ORG,Delta Airlines,,,,,,1030 Delta Boulevard,,Atlanta,GA,30354,,,2024-12-04,663.96,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.5230,,,ORG,Delta Airlines,,,,,,1030 Delta Boulevard,,Atlanta,GA,30354,,,2024-12-04,663.96,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.5231,,,ORG,Delta Airlines,,,,,,1030 Delta Boulevard,,Atlanta,GA,30354,,,2024-12-04,418.47,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.5232,,,ORG,Delta Airlines,,,,,,1030 Delta Boulevard,,Atlanta,GA,30354,,,2024-12-04,1118.48,,PAC Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.5234,,,ORG,O'Donnell & Associates Ltd,,,,,,829 Emerald Drive,,Alexandria,VA,22308,,,2024-12-11,3000.00,,PAC Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.5237,,,ORG,"The Stanton Group, LLC",,,,,,3410 Alabama Ave,,Alexandria,VA,22305,,,2024-12-12,17652.78,,"PAC Fundraising Consulting, PAC Food/Beverage, PAC Parking, PAC Lodging",,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.5239,,,ORG,Uber,,,,,,1455 Market St,Ste 40,San Francisco,CA,94103,,,2024-11-26,37.20,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00834507,SB21B.5240,,,ORG,Uber,,,,,,1455 Market St,Ste 40,San Francisco,CA,94103,,,2024-11-26,15.30,,PAC Transportation,,,,,,,,,,,,,,,,,,,,
