form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00829713,SB29.13701,,,CCM,Azinger for Senate,,,,,,1007 51st Street,,Vienna,WV,26105,,,2024-10-30,1000.00,,Non-federal contribution,011,,Azinger for Senate,,Azinger,Michael,,,,,,,,,,,,,,
SB29,C00829713,SB29.13703,,,CCM,Barnhart for WV,,,,,,5 Wolfe Lane,,St. Mary's,WV,26170,,,2024-10-30,500.00,,Non-federal contribution,011,,Barnhart for WV,,Barnhart,Trenton,Carl,,,,,,,,,,,,,
SB29,C00829713,SB29.13899,,,CCM,Bierlein Administrative Fund,,,,,,"500 E. Michigan Avenue, Unit 220",,Lansing,MI,48912,,,2024-11-04,500.00,,Non-federal contribution,011,,Bierlein Administrative Fund,,Bierlein,Matthew,,,,,,,,,,,,,,
SB29,C00829713,SB29.13894,,,CCM,Campaign to Elect Lucy McBath,,,,,,"1860 Sandy Plain Road, Suite 204-2",,Marietta,GA,30066,,,2024-10-28,-2000.00,,Void of contribution made on 8/14/24.,010,,Campaign to Elect Lucy McBath,,McBath,Lucy,,,,,,,,,,,,,,
SB29,C00829713,SB29.13693,,,CCM,Citizens for Charlotte McGuire,,,,,,2451 Quorn Court,,Centerville,OH,45458,,,2024-10-24,1500.00,,Non-federal contribution,011,,Citizens for Charlotte McGuire,,McGuire,Charlotte,,,,,,,,,,,,,,
SB29,C00829713,SB29.13700,,,CCM,Committee to Elect Vince Deeds WV State Senate,,,,,,PO Box 902,,Lewisburg,WV,24901,,,2024-10-30,1000.00,,Non-federal contribution,011,,Committee to Elect Vince Deeds WV State Senate,,Deeds,Vince,,,,,,,,,,,,,,
SB29,C00829713,SB29.13695,,,CCM,Eric J Tarr for WV Senate,,,,,,P.O. Box 1098,,Scott Depot,WV,25560,,,2024-10-30,1000.00,,Non-federal contribution,011,,Eric J Tarr for WV Senate,,Tarr,Eric,,,,,,,,,,,,,,
SB29,C00829713,SB29.13702,,,CCM,JB Akers for WV,,,,,,815 Cedar Road,,Charleston,WV,25314,,,2024-10-30,500.00,,Non-federal contribution,011,,JB Akers for WV,,Akers,JB,,,,,,,,,,,,,,
SB29,C00829713,SB29.13704,,,CCM,"Mike Braun for Indiana, Inc.",,,,,,PO Box 1126,,Carmel,IN,46082,,,2024-10-30,3000.00,,Non-federal contribution,011,,"Mike Braun for Indiana, Inc.",,Braun,Mike,,,,,,,,,,,,,,
SB29,C00829713,SB29.13694,,,CCM,Morrisey 2024,,,,,,PO Box 11903,,Charleston,WV,25339,,,2024-10-30,2500.00,,Non-federal contribution,011,,Morrisey 2024,,Morrisey,Patrick,,,,,,,,,,,,,,
SB29,C00829713,SB29.13900,,,CCM,One Kansas,,,,,,PO Box 61,,Manhattan,KS,66505,,,2024-11-20,9000.00,,Non-federal contribution,011,,One Kansas,,Schmidt,Vicki,,,,,,,,,,,,,,
SB29,C00829713,SB29.13698,,,CCM,Representative Roger Hanshaw,,,,,,5035 Wallback Road,,Wallback,WV,25285,,,2024-10-30,1000.00,,Non-federal contribution,011,,Representative Roger Hanshaw,,Hanshaw,Roger,,,,,,,,,,,,,,
SB29,C00829713,SB29.13699,,,CCM,Rohrbach for WV,,,,,,25 Kensington Lane,,Huntington,WV,25705,,,2024-10-30,1000.00,,Non-federal contribution,011,,Rohrbach for WV,,Rohrbach,Matthew,,,,,,,,,,,,,,
SB29,C00829713,SB29.13696,,,CCM,Tom Takubo for Senate,,,,,,101 Bowling Lane,,Charleston,WV,25314,,,2024-10-30,1000.00,,Non-federal contribution,011,,Tom Takubo for Senate,,Takubo,Tom,,,,,,,,,,,,,,
