form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00147512,VNV6YA3SP71,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-05-01,1151.40,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3SP89,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-05-08,1607.60,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3SXY6,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-05-15,1393.20,0.00,Contribution processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3SXZ4,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-05-22,1037.25,0.00,Contribution processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3SY02,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-05-29,984.71,0.00,Contribution processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3SY19,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-05-31,282.79,0.00,Contribution processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3T5H1,,,ORG,Addison Strategies,,,,,,205 Yoakum Pkwy,Unit 1524,Alexandria,VA,223043840,,,2023-05-22,46000.00,0.00,Administrative & Managerial Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3T598,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2023-05-10,100.98,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3T5K7,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2023-05-26,135.00,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3T5J9,,,ORG,American Express,,,,,,PO Box 981540,,El Paso,TX,799981540,,,2023-05-25,32103.19,0.00,Credit card payment,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3TET2,VNV6YA3T5J9,SB21B,ORG,American Airlines,,,,,,PO Box 619616,,Dallas,TX,752619616,,,2023-05-22,517.81,0.00,Airfare expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00147512,VNV6YA3TF09,VNV6YA3T5J9,SB21B,ORG,Bill.Com,,,,,,6220 America Center Dr,Ste 100,Alviso,CA,950022563,,,2023-05-22,29712.37,0.00,IT and network services,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00147512,VNV6YA3TF25,VNV6YA3T5J9,SB21B,ORG,National Democratic Club,,,,,,30 Ivy St SE,,Washington,DC,200034071,,,2023-05-22,349.00,0.00,Lunch expenses,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00147512,VNV6YA3T531,,,ORG,Brilliant Corners Research & Strategies,,,,,,1250 I St NW,Ste 1003,Washington,DC,200053939,,,2023-05-03,98700.00,0.00,Polling Services-IE Program,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3T5P1,,,ORG,Buffer Pro Systems,,,,,,1458B Aaron Ct,,Jefferson City,MO,651012863,,,2023-05-10,50.00,0.00,Social Media Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3T768,,,ORG,Buffer Pro Systems,,,,,,1458B Aaron Ct,,Jefferson City,MO,651012863,,,2023-05-25,15.00,0.00,Social Media Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3T5W8,,,ORG,Comcast,,,,,,900 Michigan Ave NE,,Washington,DC,200171833,,,2023-05-15,537.89,0.00,Telecommunication Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3T580,,,ORG,Elias Law Group,,,,,,10 G St NE,,Washington,DC,200024213,,,2023-05-09,7330.29,0.00,Legal Services-IE Program,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3TBY7,,,ORG,First Bankcard,,,,,,PO Box 2818,,Omaha,NE,681032818,,,2023-05-03,15.90,0.00,Card fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00147512,VNV6YA3TBZ5,,,ORG,First Bankcard,,,,,,PO Box 2818,,Omaha,NE,681032818,,,2023-05-03,103.17,0.00,Card fee,,,,,,,,,,,,,,,,,,,,
