form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00442368,SB21B.12409,,,ORG,American Express,,,,,,PO Box 650448,,Dallas,TX,75265,,,2023-07-26,1852.08,,Credit Card Payment: See Memos,,,,,,,,,,,,,,,,,,,,
SB21B,C00442368,SB21B.12409.0,SB21B.12409,SB21B,ORG,American Express,,,,,,PO Box 650448,,Dallas,TX,75265,,,2023-06-28,-51.75,,Vendor Rebate,,,,,,,,,,,,,,,,,,,X,
SB21B,C00442368,SB21B.12409.1,SB21B.12409,SB21B,ORG,Courtyard by Marriott Yonkers,,,,,,5 Executive Blvd,,Yonkers,NY,10701,,,2023-06-28,-224.00,,Vendor Refund,,,,,,,,,,,,,,,,,,,X,
SB21B,C00442368,SB21B.12409.2,SB21B.12409,SB21B,ORG,Courtyard by Marriott Yonkers,,,,,,5 Executive Blvd,,Yonkers,NY,10701,,,2023-06-28,224.00,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00442368,SB21B.12409.3,SB21B.12409,SB21B,ORG,American Airlines,,,,,,4255 Amon Carter Blvd.,,Ft. Worth,TX,76155,,,2023-07-12,841.80,,Airfare,,,,,,,,,,,,,,,,,,,X,
SB21B,C00442368,SB21B.12409.4,SB21B.12409,SB21B,ORG,Wynn Las Vegas,,,,,,3131 S Las Vegas Blvd,,Las Vegas,NV,89109,,,2023-07-12,259.64,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00442368,SB21B.12409.5,SB21B.12409,SB21B,ORG,Wynn Las Vegas,,,,,,3131 S Las Vegas Blvd,,Las Vegas,NV,89109,,,2023-07-12,259.64,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB21B,C00442368,SB21B.12409.6,SB21B.12409,SB21B,ORG,"Amazon, Inc.",,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2023-07-23,11.32,,Event Expense: Gift Bags,,,,,,,,,,,,,,,,,,,X,
SB21B,C00442368,SB21B.12409.7,SB21B.12409,SB21B,ORG,"Amazon, Inc.",,,,,,410 Terry Ave N,,Seattle,WA,98109,,,2023-07-23,12.14,,Event Expense: Gift Bags,,,,,,,,,,,,,,,,,,,X,
SB21B,C00442368,SB21B.12409.8,SB21B.12409,SB21B,ORG,Caskers,,,,,,244 Fifth Avenue,Suite F247,New York,NY,10001,,,2023-06-27,52.99,,Fundraising Expense: Beverages,,,,,,,,,,,,,,,,,,,X,
