form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00695163,SB21B.I15327,,,ORG,ANEDOT,,,,,,1340 POYDRAS ST,STE 1770,NEW ORLEANS,LA,70112,,,2023-06-19,325.50,,JFC CC TRANSACTION FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13164,,,ORG,"CAMPAIGN STRATEGIES, LLC",,,,,,880 NEW JERSEY AVE SE,UNIT 303,WASHINGTON,DC,20003,,,2023-05-02,3000.00,,JFC STRATEGY CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I15334,,,ORG,"CAMPAIGN STRATEGIES, LLC",,,,,,880 NEW JERSEY AVE SE,UNIT 303,WASHINGTON,DC,20003,,,2023-06-30,3000.00,,JFC STRATEGY CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13270,,,ORG,CHASE,,,,,,P.O. BOX 1423,,CHARLOTTE,NC,28201,,,2023-06-06,4018.49,,SEE MEMO ENTRIES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I14316,SB21B.I13270,SB21B,ORG,AMAZON,,,,,,410 TERRY AVE N,,SEATTLE,WA,98109,,,2023-06-06,263.10,,JFC EVENT SUPPLIES,001,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I14315,SB21B.I13270,SB21B,ORG,AMERICAN AIRLINES,,,,,,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,,,2023-06-06,1538.18,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I14322,SB21B.I13270,SB21B,ORG,DOUBLETREE,,,,,,1201 RIVERPLACE BLVD,,JACKSONVILLE,FL,32207,,,2023-06-06,273.27,,JFC TRAVEL EXPENSE,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I14314,SB21B.I13270,SB21B,ORG,"LONGLEAF SERVICES, INC.",,,,,,116 S BOUNDARY ST,,CHAPEL HILL,NC,27514,,,2023-06-06,1330.10,,JFC BOOKS ,001,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I14321,SB21B.I13270,SB21B,ORG,RESIDENCE INN,,,,,,455 HIBISCUS ST.,,WEST PALM BCH,FL,33401,,,2023-06-06,438.76,,JFC TRAVEL EXPENSES,002,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00695163,SB21B.I13102,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2023-04-12,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00695163,SB21B.I13103,,,ORG,CLASSIC CITY BANK,,,,,,2965 WEST BROAD STREET,,ATHENS,GA,30606,,,2023-04-13,20.00,,JFC BANK FEE,001,,,,,,,,,,,,  ,,,,,,,
