form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00103549,15F329B026E515698EC,,,PAC,American Security PAC,,,,,,167 W Manor Ln,,Alexandria,AL,36250,O2023,Contribution,2023-08-01,5000.00,,2023 Contribution,011,C00439521,American Security PAC,,,,,,,,,,,,,,,,,
SB23,C00103549,B7C87C008B17CE08CA8,,,CCM,Citizens For Turner,,,,,,120 W 2nd St,Ste 1510,Dayton,OH,454021603,P2024,,2023-08-23,1000.00,,2024 Primary,011,C00373001,,H2OH03067,Turner,Michael,R.,,,H,OH,10,,,,,,,,
SB23,C00103549,9A76976AB601830F43F,,,CCM,Dale Strong For Congress,,,,,,PO Box 18502,,Huntsville,AL,35804,P2024,,2023-08-23,1000.00,,2024 Primary,011,C00774281,,H2AL05102,Strong,Dale,Whitney,,,H,AL,05,,,,,,,,
SB23,C00103549,4544AD01BBF79ABBEEF,,,CCM,Dan Newhouse For Congress,,,,,,PO Box 10949,,Yakima,WA,989091949,P2024,,2023-08-23,1000.00,,2024 Primary,011,C00559393,,H4WA04104,Newhouse,Daniel,Milton,,,H,WA,04,,,,,,,,
SB23,C00103549,DBAE4C913D02A156081,,,CCM,Donald M Payne JR For Congress,,,,,,PO Box 2406,,Newark,NJ,07114,P2024,,2023-08-08,1000.00,,2024 Primary,011,C00519355,,H2NJ10154,Payne,Donald,Milford,,Jr.,H,NJ,10,,,,,,,,
SB23,C00103549,D9B307784E3347F543A,,,CCM,Donald M Payne JR For Congress,,,,,,PO Box 2406,,Newark,NJ,07114,P2024,,2023-08-23,1000.00,,2024 Primary,011,C00519355,,H2NJ10154,Payne,Donald,Milford,,Jr.,H,NJ,10,,,,,,,,
SB23,C00103549,BAD613F2FA4C7701C5C,,,CCM,Friends Of Mazie Hirono,,,,,,PO Box 677,,Honolulu,HI,96809,G2024,,2023-08-23,1000.00,,2024 General,011,C00420760,,S2HI00106,Hirono,Mazie,Keiko,,,S,HI,,,,,,,,,
SB23,C00103549,4501C61FE4034AF679B,,,CCM,Garamendi For Congress,,,,,,PO Box 2978,,Fairfield,CA,94533,P2024,,2023-08-23,1000.00,,2024 Primary,011,C00462697,,H0CA10149,Garamendi,John,Raymond,,,H,CA,08,,,,,,,,
SB23,C00103549,B495299522E90DD8F5B,,,CCM,Hoyer For Congress,,,,,,1032 15th St NW,Ste 247,Washington,DC,20005,P2024,,2023-08-21,2500.00,,2024 Primary,011,C00140715,,H2MD05155,Hoyer,Steny,Hamilton,,,H,MD,05,,,,,,,,
SB23,C00103549,5F7A6197BBFE88B2B04,,,CCM,Hoyer For Congress,,,,,,1032 15th St NW,Ste 247,Washington,DC,20005,P2024,,2023-08-21,-2500.00,,2024 Primary,011,C00140715,,H2MD05155,Hoyer,Steny,Hamilton,,,H,MD,05,,,,,,,,
SB23,C00103549,701E94873969C1F0ED3,,,CCM,Kiggans For Congress,,,,,,PO Box 5042,,Virginia Beach,VA,23471,P2024,,2023-08-08,1000.00,,2024 Primary,011,C00776120,,H2VA02064,Kiggans,Jennifer,A.,,,H,VA,02,,,,,,,,
SB23,C00103549,D7A442625B636135BCA,,,CCM,Kiggans For Congress,,,,,,PO Box 5042,,Virginia Beach,VA,23471,P2024,,2023-08-23,500.00,,2024 Primary,011,C00776120,,H2VA02064,Kiggans,Jennifer,A.,,,H,VA,02,,,,,,,,
SB23,C00103549,63591B1B081D6F6E920,,,CCM,Mario Diaz-Balart For Congress,,,,,,8724 SW 72nd St,# 420,Miami,FL,331733512,G2024,,2023-08-23,1500.00,,2024 General,011,C00376087,,H2FL25018,Diaz-Balart,Mario,Rafael,,,H,FL,26,,,,,,,,
SB23,C00103549,A9CE8BCADDE90DE7D4C,,,CCM,Scott Franklin For Congress,,,,,,PO Box 2811,,Lakeland,FL,33806,P2024,,2023-08-23,1000.00,,2024 Primary,011,C00742247,,H0FL15104,Franklin,Scott,,,,H,FL,18,,,,,,,,
SB23,C00103549,B90E1B148386F694DEE,,,CCM,Terri Sewell For Congress,,,,,,PO Box 1964,,Birmingham,AL,35201,P2024,,2023-08-23,1000.00,,2024 Primary,011,C00458976,,H0AL07086,Sewell,Terrycina,Andrea,,,H,AL,07,,,,,,,,
SB23,C00103549,7939F63C5A6D7451EF2,,,CCM,Wexton For Congress,,,,,,PO Box 650550,,Sterling,VA,20165,P2024,,2023-08-23,1000.00,,2024 Primary,011,C00638023,,H8VA10106,Wexton,Jennifer,T.,,,H,VA,10,,,,,,,,
