form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00769711,SB21B.I25871,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,SUITE 400,TYSONS CORNER,VA,22182,,,2024-11-18,250.00,,SUBSCRIPTIONS,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I25826,,,ORG,IMS SERVICES LLC,,,,,,2970 SOUTHWEST 38TH COURT,#09,MIAMI,FL,33134,,,2024-11-01,5300.00,,FINANCE CONSULTING,003,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I25856,,,ORG,INSPIRE CAPITAL FL,,,,,,591 EVERNIA STREET,APT. 1519,WEST PALM BEACH,FL,33401,,,2024-11-18,14884.44,,FINANCE CONSULTING,003,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I25876,,,ORG,INSPIRE CAPITAL FL,,,,,,591 EVERNIA STREET,APT. 1519,WEST PALM BEACH,FL,33401,,,2024-11-20,10000.00,,FINANCE CONSULTING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I25875,,,ORG,MSANZ CONSULTING LLC,,,,,,12825 SOUTHWEST 105TH TERRACE,,MIAMI,FL,33186,,,2024-11-20,5000.00,,FINANCE CONSULTING,003,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I25834,,,ORG,STRATEGIC VICTORY SOLUTIONS LLC,,,,,,1305 WEST 11TH STREET,#213,HOUSTON,TX,77008,,,2024-11-04,2637.21,,COMPLIANCE CONSULTING/SHIPPING,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I25726,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BOULEVARD,,ARLINGTON,VA,22209,,,2024-10-17,225.70,,PROCESSING FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I25728,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BOULEVARD,,ARLINGTON,VA,22209,,,2024-10-18,130.02,,PROCESSING FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I25810,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BOULEVARD,,ARLINGTON,VA,22209,,,2024-10-25,451.20,,PROCESSING FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I25816,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BOULEVARD,,ARLINGTON,VA,22209,,,2024-10-28,495.87,,PROCESSING FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I25825,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BOULEVARD,,ARLINGTON,VA,22209,,,2024-10-31,320.29,,PROCESSING FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I25830,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BOULEVARD,,ARLINGTON,VA,22209,,,2024-11-01,330.58,,PROCESSING FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I25841,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BOULEVARD,,ARLINGTON,VA,22209,,,2024-11-04,80.00,,PROCESSING FEES,001,,,,,,,,,,,,  ,,,,,,,
SB21B,C00769711,SB21B.I25842,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BOULEVARD,,ARLINGTON,VA,22209,,,2024-11-06,16.00,,PROCESSING FEES,001,,,,,,,,,,,,  ,,,,,,,
