form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00274431,50283594,,,COM,Miller for House,,,,,,1208 E 200 N,,Fairfield,ID,83327,,,2024-05-13,-250.00,0.00,Void - Miller for House; Check Dated 08/14/2023,011,,,,Miller,Steve,,ID Rep.,,,,,,,,,,,,Void - Miller for House; Check Dated 08/14/2023
SB29,C00274431,50283595,,,COM,Elect Robert Spendlove,,,,,,2492 East Barcelona Drive,,Sandy,UT,84093,,,2024-05-13,-250.00,0.00,Void - Elect Robert Spendlove; Check Dated 12/07/2023,011,,,,Spendlove,Robert,,UT Rep.,,,,,,,,,,,,Void - Elect Robert Spendlove; Check Dated 12/07/2023
SB29,C00274431,50283597,,,COM,Committee to Elect Jennifer Dailey-Provost,,,,,,812 North Sandhurst Drive,,Salt Lake City,UT,84103,,,2024-05-13,-250.00,0.00,Void - Committee to Elect Jennifer Dailey-Provost; Check Dated 12/07/2023,011,,,,Dailey-Provost,Jennifer,,,,,,,,,,,,,,Void - Committee to Elect Jennifer Dailey-Provost; Check Dated 12/07/2023
SB29,C00274431,50283598,,,COM,Marsha Judkins for State House,,,,,,838 N 2400 W,,Provo,UT,84601,,,2024-05-13,-250.00,0.00,Void - Marsha Judkins for State House; Check Dated 12/07/2023,011,,,,Judkins,Marsha,,UT Rep.,,,,,,,,,,,,Void - Marsha Judkins for State House; Check Dated 12/07/2023
SB29,C00274431,50283599,,,COM,New Mexico House Republican Campaign Committee,,,,,,P.O. Box 92832,,Albuquerque,NM,87199,,,2024-05-13,-2000.00,0.00,Void - New Mexico House Republican Campaign Committee; Check Dated 12/07/2023,011,,,,,,,,,,,,,,,,,,,Void - New Mexico House Republican Campaign Committee; Check Dated 12/07/2023
SB29,C00274431,50283912,,,COM,West Virginia Democratic House Legislative Committee,,,,,,1427 Lee Street E,#2,Charleston,WV,25301,,,2024-05-14,-1000.00,0.00,Void - West Virginia Democratic House Legislative Committee; Check Dated 12/12/2023,011,,,,,,,,,,,,,,,,,,,Void - West Virginia Democratic House Legislative Committee; Check Dated 12/12/2023
SB29,C00274431,50284480,,,COM,State Senator Jared Carpenter Campaign Fund,,,,,,P.O. Box 100,,Berea,KY,40403,,,2024-05-15,1000.00,0.00,Contribution,011,,,,Carpenter,Jared,,KY Sen.,,,,,,,,,,,,Contribution
SB29,C00274431,50284483,,,COM,Howell for State Senate,,,,,,702 Capital Ave,Annex Room 290,Frankfurt,KY,40601,,,2024-05-15,1000.00,0.00,Contribution,011,,,,Howell,Jason,,KY Sen.,,,,,,,,,,,,Contribution
SB29,C00274431,50284486,,,COM,Brandon Storm for Senate,,,,,,175 Poplar Ridge Rd.,,London,KY,40744,,,2024-05-15,1000.00,0.00,Contribution,011,,,,Storm,Brandon,,KY Sen.,,,,,,,,,,,,Contribution
SB29,C00274431,50284492,,,COM,Amanda Mays Bledsoe for State Senate,,,,,,PO Box 23112,,Lexington,KY,40523,,,2024-05-15,1000.00,0.00,Contribution,011,,,,Mays Bledsoe,Amanda,,KY Sen.,,,,,,,,,,,,Contribution
SB29,C00274431,50284493,,,COM,Michael Meredith for State Representative,,,,,,464 Oakland Rd,,Oakland,KY,42159,,,2024-05-15,1000.00,0.00,Contribution,011,,,,Meredith,Michael,,KY Rep.,,,,,,,,,,,,Contribution
SB29,C00274431,50284494,,,PTY,House Republican Caucus Campaign Committee,,,,,,PO Box 1068,,Frankfort,KY,40602,,,2024-05-15,3000.00,0.00,Contribution,011,,,,,,,,,,,,,,,,,,,Contribution
SB29,C00274431,50284495,,,PTY,Kentucky House Democratic Caucus Campaign Committee,,,,,,PO Box 4204,,Frankfort,KY,40604,,,2024-05-15,3000.00,0.00,Contribution,011,,,,,,,,,,,,,,,,,,,Contribution
SB29,C00274431,50284496,,,PTY,Senate Republican Caucus Campaign Committee,,,,,,P.O. Box 1068,,Frankfort,KY,40602,,,2024-05-15,3000.00,0.00,Contribution,011,,,,,,,,,,,,,,,,,,,Contribution
SB29,C00274431,50284624,,,COM,Carroll for State Senate,,,,,,702 Capital Ave,Annex Room 228,Frankfort,KY,40601,,,2024-05-15,-1000.00,0.00,Void - Carroll for State Senate; Check Dated 09/19/2023,011,,,,Carroll,Danny,,KY Sen.,,,,,,,,,,,,Void - Carroll for State Senate; Check Dated 09/19/2023
SB29,C00274431,50304450,,,COM,Raymer for Kentucky,,,,,,3847 Leonard Oak Rd,,Morgantown,KY,42261,,,2024-05-17,1000.00,0.00,Contribution,011,,,,Raymer,Rebecca,,KY Rep.,,,,,,,,,,,,Contribution
SB29,C00274431,50304451,,,COM,Matt Lockett for State Representative,,,,,,901 Cannonball Drive,,Nicholasville,KY,40356,,,2024-05-17,1000.00,0.00,Contribution,011,,,,Lockett,Matt,,KY Rep.,,,,,,,,,,,,Contribution
SB29,C00274431,50304452,,,COM,Sarge for State Representative,,,,,,105 Colonial Drive,,Campellsville,KY,42718,,,2024-05-17,1000.00,0.00,Contribution,011,,,,Pollock,Michael,,KY Rep.,,,,,,,,,,,,Contribution
SB29,C00274431,50304453,,,COM,Jason Petrie for State Representative,,,,,,PO Box 397,,Elkton,KY,42220,,,2024-05-17,1000.00,0.00,Contribution,011,,,,Petrie,Jason,,KY Rep.,,,,,,,,,,,,Contribution
SB29,C00274431,50304454,,,COM,Douglas for Kentucky,,,,,,733 Chinkapin Dr.,,Nicholasville,KY,40356,,,2024-05-17,1000.00,0.00,Contribution,011,,,,Douglas,Donald,,KY Sen.,Dr.,,,,,,,,,,,Contribution
SB29,C00274431,50304465,,,PTY,Senate Democratic Caucus Committee,,,,,,3390 Pimlico Parkway,,Lexington,KY,40517,,,2024-05-17,4000.00,0.00,Contribution,011,,,,,,,,,,,,,,,,,,,Contribution
SB29,C00274431,50305639,,,COM,Committee to Elect Walt Brooks,,,,,,393 West 300 North,,St. George,UT,84770,,,2024-05-20,-250.00,0.00,Void - Committee to Elect Walt Brooks; Check Dated 12/07/2023,011,,,,Brooks,Walt,,UT Rep.,,,,,,,,,,,,Void - Committee to Elect Walt Brooks; Check Dated 12/07/2023
