form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00766220,SB21B.7787,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-06-30,327.03,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7760,,,ORG,Amalgamated Bank,,,,,,275 Seventh Avenue,,New York,NY,10001,,,2024-04-26,80.25,,Bank Charges,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7761,,,ORG,Amalgamated Bank,,,,,,275 Seventh Avenue,,New York,NY,10001,,,2024-05-24,80.25,,Bank Charges,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7762,,,ORG,Amalgamated Bank,,,,,,275 Seventh Avenue,,New York,NY,10001,,,2024-06-28,65.25,,Bank Charges,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7763,,,ORG,Beyond November Strategies,,,,,,6 Liberty Square,PMB 538,Boston,MA,02109,,,2024-04-16,1500.00,,Fundraising and Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7770,,,ORG,Klaviyo Inc.,,,,,,125 Summer St,Floor 7,Boston,MA,02111,,,2024-05-22,337.50,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7772,,,ORG,Klaviyo Inc.,,,,,,125 Summer St,Floor 7,Boston,MA,02111,,,2024-06-24,337.50,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7773,,,ORG,Omnisend,,,,,,"Verki? g. 25C-1, LT-08223",,Vilnius,ZZ,,,,2024-04-01,253.00,,Email Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7774,,,ORG,Omnisend,,,,,,"Verki? g. 25C-1, LT-08223",,Vilnius,ZZ,,,,2024-04-30,253.00,,Email Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7775,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, P.C.",,,,,,"1090 Vermont Ave, NW",Suite 750,Washington,DC,20005,,,2024-05-31,245.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7778,,,ORG,The Rocket Science Group,,,,,,675 Ponce de Leon Ave NE,Suite 50,Atlanta,GA,30308,,,2024-04-09,630.00,,Email Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7779,,,ORG,The Rocket Science Group,,,,,,675 Ponce de Leon Ave NE,Suite 50,Atlanta,GA,30308,,,2024-04-18,289.67,,Email Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7780,,,ORG,The Rocket Science Group,,,,,,675 Ponce de Leon Ave NE,Suite 50,Atlanta,GA,30308,,,2024-05-10,1025.00,,Email Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7781,,,ORG,The Rocket Science Group,,,,,,675 Ponce de Leon Ave NE,Suite 50,Atlanta,GA,30308,,,2024-06-10,1025.00,,Email Service,,,,,,,,,,,,,,,,,,,,
SB21B,C00766220,SB21B.7785,,,ORG,Wix.com,,,,,,1691 Michigan Ave,,Miami,FL,33139,,,2024-06-17,24.43,,Website Service,,,,,,,,,,,,,,,,,,,,
