form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00796045,SE24.13,,,ORG,CATAMARAN CONSULTING,,,,,,1920 HILLHURST AVE #1159,,LOS ANGELES,CA,90027,G2024,,2024-08-01,3564.94,2024-08-01,1333941.53,PRINTING,,,S,S2TX00312,CRUZ,RAFAEL,EDWARD  TED,,,S,00,TX,OZANUS,KRIS,,,,2024-08-01,,
SE,C00796045,SE24.14,,,ORG,CATAMARAN CONSULTING,,,,,,1920 HILLHURST AVE #1159,,LOS ANGELES,CA,90027,G2024,,2024-08-01,3564.93,2024-08-01,1333941.53,PRINTING,,,O,S4TX00722,ALLRED,COLIN,,,,S,00,TX,OZANUS,KRIS,,,,2024-08-01,,
SE,C00796045,SE24.15,,,ORG,CATAMARAN CONSULTING,,,,,,1920 HILLHURST AVE #1159,,LOS ANGELES,CA,90027,G2024,,2024-08-05,252500.00,2024-08-06,1333941.53,CANVASSING/FIELD OPERATIONS ,,,S,S2TX00312,CRUZ,RAFAEL,EDWARD  TED,,,S,00,TX,OZANUS,KRIS,,,,2024-08-06,,
SE,C00796045,SE24.16,,,ORG,CATAMARAN CONSULTING,,,,,,1920 HILLHURST AVE #1159,,LOS ANGELES,CA,90027,G2024,,2024-08-05,252500.00,2024-08-06,1333941.53,CANVASSING/FIELD OPERATIONS ,,,O,S4TX00722,ALLRED,COLIN,,,,S,00,TX,OZANUS,KRIS,,,,2024-08-06,,
SE,C00796045,SE24.17,,,ORG,CATAMARAN CONSULTING,,,,,,1920 HILLHURST AVE #1159,,LOS ANGELES,CA,90027,G2024,,2024-08-16,8691.73,2024-08-16,1333941.53,PRINTING,,,S,S2TX00312,CRUZ,RAFAEL,EDWARD  TED,,,S,00,TX,OZANUS,KRIS,,,,2024-08-16,,
SE,C00796045,SE24.18,,,ORG,CATAMARAN CONSULTING,,,,,,1920 HILLHURST AVE #1159,,LOS ANGELES,CA,90027,G2024,,2024-08-16,8691.73,2024-08-16,1333941.53,PRINTING,,,O,S4TX00722,ALLRED,COLIN,,,,S,00,TX,OZANUS,KRIS,,,,2024-08-16,,
SE,C00796045,SE24.1017,,,ORG,CATAMARAN CONSULTING,,,,,,1920 HILLHURST AVE #1159,,LOS ANGELES,CA,90027,G2024,,2024-08-22,1246.50,2024-08-22,1333941.53,PRINTING,,,S,S2TX00312,CRUZ,RAFAEL,EDWARD  TED,,,S,00,TX,OZANUS,KRIS,,,,2024-08-22,,
SE,C00796045,SE24.1018,,,ORG,CATAMARAN CONSULTING,,,,,,1920 HILLHURST AVE #1159,,LOS ANGELES,CA,90027,G2024,,2024-08-22,1246.50,2024-08-22,1333941.53,PRINTING,,,O,S4TX00722,ALLRED,COLIN,,,,S,00,TX,OZANUS,KRIS,,,,2024-08-22,,
SE,C00796045,SE24.1019,,,ORG,CATAMARAN CONSULTING,,,,,,1920 HILLHURST AVE #1159,,LOS ANGELES,CA,90027,G2024,,2024-08-26,65341.00,2024-08-26,1333941.53,COLLATERAL MATERIALS- SIGNS,,,S,S2TX00312,CRUZ,RAFAEL,EDWARD  TED,,,S,00,TX,OZANUS,KRIS,,,,2024-08-26,,
SE,C00796045,SE24.1020,,,ORG,CATAMARAN CONSULTING,,,,,,1920 HILLHURST AVE #1159,,LOS ANGELES,CA,90027,G2024,,2024-08-27,8612.50,2024-08-27,1333941.53,PRINTING,,,S,S2TX00312,CRUZ,RAFAEL,EDWARD  TED,,,S,00,TX,OZANUS,KRIS,,,,2024-08-27,,
SE,C00796045,SE24.1021,,,ORG,CATAMARAN CONSULTING,,,,,,1920 HILLHURST AVE #1159,,LOS ANGELES,CA,90027,G2024,,2024-08-27,8612.50,2024-08-27,1333941.53,PRINTING,,,O,S4TX00722,ALLRED,COLIN,,,,S,00,TX,OZANUS,KRIS,,,,2024-08-27,,
SE,C00796045,SE24.1022,,,ORG,CATAMARAN CONSULTING,,,,,,1920 HILLHURST AVE #1159,,LOS ANGELES,CA,90027,G2024,,2024-08-29,3187.50,2024-08-29,1333941.53,PRINTING,,,S,S2TX00312,CRUZ,RAFAEL,EDWARD  TED,,,S,00,TX,OZANUS,KRIS,,,,2024-08-29,,
SE,C00796045,SE24.1023,,,ORG,CATAMARAN CONSULTING,,,,,,1920 HILLHURST AVE #1159,,LOS ANGELES,CA,90027,G2024,,2024-08-29,3187.50,2024-08-29,1333941.53,CREDIT,,,O,S4TX00722,ALLRED,COLIN,,,,S,00,TX,OZANUS,KRIS,,,,2024-08-29,,
