form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00716423,501204865,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-30,3668.70,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204876,,,ORG,Democracy Engine,,,,,,2125 14th St NW,,Washington,DC,200094464,,,2024-09-29,338.03,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204929,,,ORG,"Forward Printing, LLC",,,,,,3048 N 34th St,,Milwaukee,WI,532101919,,,2024-09-13,698.25,0.00,Printing of Event Signage,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204860,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-07-31,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204924,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-08-30,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204948,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-16,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204943,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-18,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204944,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-18,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204945,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-18,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204946,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-18,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204947,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-18,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204937,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-24,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204938,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-24,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204939,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-24,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204940,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-24,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204941,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-24,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204942,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-24,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204934,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-25,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204935,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-25,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501204936,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-09-25,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
