form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00813170,SB21B.4416,,,ORG,Alaska Airlines,,,,,,17801 International Blvd,,Seattle,WA,98158,,,2024-01-15,520.82,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4280,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,1619.12,,"Credit Card Payment, see below if itemized:",,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4280.0,SB21B.4280,SB21B,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,60601,,,2024-04-01,549.10,,Travel,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4280.2,SB21B.4280,SB21B,ORG,Delta,,,,,,1030 Delta Blvd.,,Atlanta,GA,30320,,,2024-04-06,589.10,,Travel,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4280.3,SB21B.4280,SB21B,ORG,Uber,,,,,,1455 Market St,#400,San Francisco,CA,94103,,,2024-04-06,42.95,,Travel,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4280.4,SB21B.4280,SB21B,ORG,Southwest Airlines,,,,,,2702 Love Field Dr.,,Dallas,TX,75235,,,2024-04-08,383.98,,Travel,002,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4373,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,339.01,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4375,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,348.61,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4376,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,13.92,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4377,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,90.70,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4378,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,47.98,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4379,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,520.82,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4380,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,539.10,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4381,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,62.93,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4382,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,144.75,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4383,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,47.00,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4384,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,137.00,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4385,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,44.88,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4386,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,88.44,,Credit Card Payment: See Memo Entries if itemized,,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4387,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,78.55,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4388,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,39.42,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4389,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,42.20,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4390,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,30.09,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4391,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,58.29,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4392,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,319.10,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4394,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,319.10,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4395,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,95.95,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4396,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,161.04,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4397,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,57.30,,Credit Card Payment: See Memo Entries if itemized,003,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4398,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,221.10,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4399,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,151.77,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4400,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,387.50,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4401,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,37.10,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4402,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,33.15,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4403,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,07101,,,2024-06-14,33.94,,Credit Card Payment: See Memo Entries if itemized,001,,,,,,,,,,,,,,,,,,,
SB21B,C00813170,SB21B.4412,,,ORG,Delta,,,,,,1030 Delta Blvd.,,Atlanta,GA,30320,,,2024-01-08,348.61,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4420,,,ORG,Delta,,,,,,1030 Delta Blvd.,,Atlanta,GA,30320,,,2024-03-15,319.10,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4421,,,ORG,Delta,,,,,,1030 Delta Blvd.,,Atlanta,GA,30320,,,2024-03-15,319.10,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
SB21B,C00813170,SB21B.4424,,,ORG,Delta,,,,,,1030 Delta Blvd.,,Atlanta,GA,30320,,,2024-03-27,387.50,,Credit Card Memo Entry - Flights,,,,,,,,,,,,,,,,,,,X,
