form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00847327,SB29.13101,,,ORG,FEC Infusion LLC,,,,,,PO Box 3495,,Palm Beach,FL,33480,,,2024-12-04,643.15,,Non-Contributory Account Dispersement/Reporting & Compliance,001,C00847327,Giuliani Defense,,,,,,,,,,,,,,,,,
SB29,C00847327,SB29.13121,,,ORG,Optimistiq,,,,,,145 King Street,#102,Charleston,SC,29401,,,2024-12-31,14.53,,Non-Contributory Account Dispersement/Fundraising Commission,003,C00847327,Giuliani Defense,,,,,,,,,,,,,,,,,
SB29,C00847327,SB29.13122,,,ORG,Optimistiq,,,,,,145 King Street,#102,Charleston,SC,29401,,,2024-12-31,20.53,,Non-Contributory Account Dispersement/Fundraising Commission,003,C00847327,Giuliani Defense,,,,,,,,,,,,,,,,,
SB29,C00847327,SB29.13138,,,ORG,Revv Fundraising Platform,,,,,,1101 K Street NW,,Washington,DC,20005,,,2024-11-30,1.77,,Non-Contributory Account Dispersement/Processing Fees,003,C00847327,Giuliani Defense,,,,,,,,,,,,,,,,,
SB29,C00847327,SB29.13112,,,ORG,Revv Fundraising Platform,,,,,,1101 K Street NW,,Washington,DC,20005,,,2024-12-05,1.35,,Non-Contributory Account Dispersement/Processing Fees,003,C00847327,Giuliani Defense,,,,,,,,,,,,,,,,,
SB29,C00847327,SB29.13125,,,ORG,Revv Fundraising Platform,,,,,,1101 K Street NW,,Washington,DC,20005,,,2024-12-18,1.35,,Non-Contributory Account Dispersement/Processing Fees,003,C00847327,Giuliani Defense,,,,,,,,,,,,,,,,,
SB29,C00847327,SB29.13108,,,ORG,Revv Fundraising Platform,,,,,,1101 K Street NW,,Washington,DC,20005,G2024,,2024-12-23,10.73,,Non-Contributory Account Dispersement/Processing Fees,003,C00847327,Giuliani Defense,,,,,,,,,,,,,,,,,
SB29,C00847327,SB29.13111,,,ORG,Revv Fundraising Platform,,,,,,1101 K Street NW,,Washington,DC,20005,,,2024-12-23,1.35,,Non-Contributory Account Dispersement/Processing Fees,003,C00847327,Giuliani Defense,,,,,,,,,,,,,,,,,
SB29,C00847327,SB29.13137,,,ORG,Revv Fundraising Platform,,,,,,1101 K Street NW,,Washington,DC,20005,,,2024-12-31,1.77,,Non-Contributory Account Dispersement/Processing Fees,003,C00847327,Giuliani Defense,,,,,,,,,,,,,,,,,
SB29,C00847327,SB29.13414,,,ORG,The Richard Norman Company,,,,,,113 East Market Street,Suite 300,Leesburg,VA,20176,P2026,,2024-12-31,7343.00,,Non-Contributory Account Dispersement/Caging and Mailing,003,C00847327,Giuliani Defense,,,,,,,,,,,,,,,,,
SB29,C00847327,SB29.13123,,,ORG,Uber Technologies Inc,,,,,,1725 Third Street,,San Francisco,CA,94158,,,2024-12-23,29.43,,Non-Contributory Disbursement/Fundraising Expense/Travel/Ground Transportation,002,C00847327,Giuliani Defense,,,,,,,,,,,,,,,,,
