form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00528950,SB21B.7610,,,ORG,ActBlue Technical Services,,,,,,PO BOX 441146,,Somerville,MA,02144,,,2024-06-30,2554.71,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7580,,,ORG,Apollo Artistry,,,,,,1165 N Clark St.,#700,Chicago,IL,60610,,,2024-04-15,150.00,,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7584,,,ORG,Apollo Artistry,,,,,,1165 N Clark St.,#700,Chicago,IL,60610,,,2024-04-29,500.00,,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7591,,,ORG,Apollo Artistry,,,,,,1165 N Clark St.,#700,Chicago,IL,60610,,,2024-05-14,150.00,,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7603,,,ORG,Apollo Artistry,,,,,,1165 N Clark St.,#700,Chicago,IL,60610,,,2024-06-14,150.00,,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7579,,,ORG,Bill.com,,,,,,6220 America Center Drive,Suite 100,San Jose,CA,95002,,,2024-04-09,336.00,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7590,,,ORG,Bill.com,,,,,,6220 America Center Drive,Suite 100,San Jose,CA,95002,,,2024-05-09,337.04,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7601,,,ORG,Bill.com,,,,,,6220 America Center Drive,Suite 100,San Jose,CA,95002,,,2024-06-11,336.52,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7596,,,ORG,EveryAction,,,,,,PO Box 392264,,Pittsburgh,PA,15251,,,2024-05-31,2598.98,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7609,,,ORG,EveryAction,,,,,,PO Box 392264,,Pittsburgh,PA,15251,,,2024-06-26,900.08,,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00528950,SB21B.7574,,,ORG,Google,,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2024-04-01,188.71,,Online Data Management,,,,,,,,,,,,,,,,,,,,
