form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00345058,SB23.I10911,,,PAC,HISPANIC LEADERSHIP TRUST,,,,,,1005 CONGRESS AVENUE,SUITE 400,AUSTIN,TX,78701,,,2023-03-23,5000.00,,CONTRIBUTION TO COMMITTEE,,C00809970,,,,,,,,,,,  ,,,,,,,
SB23,C00345058,SB23.I10916,,,CCM,ASHLEY HINSON FOR CONGRESS,,,,,,PO BOX 811,,MARION,IA,52302,P2024,PRIMARY,2023-03-30,5000.00,,CONTRIBUTION TO COMMITTEE,,C00706267,,H0IA01174,ARENHOLZ,ASHLEY,HINSON,,,H,IA,02,  ,,,,,,,
SB23,C00345058,SB23.I10920,,,CCM,BRANDON FOR CONGRESS NY22,,,,,,PO BOX 3580,,SYRACUSE,NY,13220,P2024,PRIMARY,2023-03-30,2500.00,,CONTRIBUTION TO COMMITTEE,,C00806307,,H2NY22212,WILLIAMS,BRANDON,MCDONALD,,,H,NY,22,  ,,,,,,,
SB23,C00345058,SB23.I10912,,,CCM,CISCOMANI FOR CONGRESS,,,,,,PO BOX 35103,,TUCSON,AZ,857405103,P2024,PRIMARY,2023-03-30,5000.00,,CONTRIBUTION TO COMMITTEE,,C00786194,,H2AZ02360,CISCOMANI,JUAN,,,,H,AZ,06,  ,,,,,,,
SB23,C00345058,SB23.I10927,,,CCM,DESPOSITO FOR NEW YORK,,,,,,PO BOX 188,,ISLAND PARK,NY,11558,P2024,PRIMARY,2023-03-30,1000.00,,CONTRIBUTION TO COMMITTEE,,C00809426,,H2NY04277,DESPOSITO,ANTHONY,P,,,H,NY,04,  ,,,,,,,
SB23,C00345058,SB23.I10923,,,CCM,DON BACON FOR CONGRESS,,,,,,P.O. BOX 391368,,OMAHA,NE,68139,P2024,PRIMARY,2023-03-30,1000.00,,CONTRIBUTION TO COMMITTEE,,C00575167,,H6NE02125,BACON,DONALD,J,,,H,NE,02,  ,,,,,,,
SB23,C00345058,SB23.I10925,,,CCM,"JOHN JAMES FOR CONGRESS, INC.",,,,,,P.O. BOX 628,,ST. CLAIR SHORES,MI,48080,P2024,PRIMARY,2023-03-30,1000.00,,CONTRIBUTION TO COMMITTEE,,C00803502,,H2MI10150,JAMES,JOHN,,,,H,MI,10,  ,,,,,,,
SB23,C00345058,SB23.I10915,,,CCM,KEN CALVERT FOR CONGRESS COMMITTEE,,,,,,PO BOX 2438,,CORONA,CA,92878,P2024,PRIMARY,2023-03-30,5000.00,,CONTRIBUTION TO COMMITTEE,,C00257337,,H2CA37023,CALVERT,KEN,,,,H,CA,41,  ,,,,,,,
SB23,C00345058,SB23.I10921,,,CCM,LALOTA FOR CONGRESS,,,,,,PO BOX 5744,,HAUPPAUGE,NY,11788,P2024,PRIMARY,2023-03-30,2000.00,,CONTRIBUTION TO COMMITTEE,,C00806018,,H2NY01190,NICK,LALOTA,,,,H,NY,01,  ,,,,,,,
SB23,C00345058,SB23.I10928,,,CCM,LAWLER FOR CONGRESS,,,,,,PO BOX 87,,SOUTH SALEM,NY,10590,P2024,PRIMARY,2023-03-30,1000.00,,CONTRIBUTION TO COMMITTEE,,C00815415,,H2NY17162,LAWLER,MICHAEL,VINCENT,,,H,NY,17,  ,,,,,,,
SB23,C00345058,SB23.I10929,,,CCM,MARC FOR US INC.,,,,,,PO BOX 5158,,POUGHKEEPSIE,NY,12602,P2024,PRIMARY,2023-03-30,1000.00,,CONTRIBUTION TO COMMITTEE,,C00789586,,H2NY19127,MOLINARO,MARCUS,J.,,,H,NY,19,  ,,,,,,,
