form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00785899,SB29.5468,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-02-12,592.50,,Non-Contribution Account: Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5475,,,IND,,Byars,Matthew,,,,10500 Rockville Pike,#1520,Rockville,MD,20852,,,2024-01-18,3530.00,,Non-Contribution Account: Event Entertainment,,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5476,,,IND,,Byars,Matthew,,,,10500 Rockville Pike,#1520,Rockville,MD,20852,,,2024-01-23,5530.00,,Non-Contribution Account: Event Entertainment,,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5463,,,ORG,"Rolla Group, LLC",,,,,,"211 S St, NW",,Washington,DC,20001,,,2024-01-02,9000.00,,Non-Contribution Account: Consultant - Fundraising/Management,,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5470,,,ORG,"Rolla Group, LLC",,,,,,"211 S St, NW",,Washington,DC,20001,,,2024-01-03,4347.14,,Non-Contribution Account: Reimbursement (Vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5470.0,SB29.5470,SB29,ORG,United Airlines,,,,,,233 South Wacker Dr,,Chicago,IL,60606,,,2024-01-03,688.20,,Travel,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5470.1,SB29.5470,SB29,ORG,United Airlines,,,,,,233 South Wacker Dr,,Chicago,IL,60606,,,2024-01-03,640.70,,Travel,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5470.2,SB29.5470,SB29,ORG,United Airlines,,,,,,233 South Wacker Dr,,Chicago,IL,60606,,,2024-01-03,223.20,,Travel,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5470.3,SB29.5470,SB29,ORG,United Airlines,,,,,,233 South Wacker Dr,,Chicago,IL,60606,,,2024-01-03,506.48,,Travel,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5470.4,SB29.5470,SB29,ORG,"Marriott Hotels International, Inc.",,,,,,7750 Wisconsin Ave,,Bethesda,MD,20814,,,2024-01-03,1423.04,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5470.5,SB29.5470,SB29,ORG,"Marriott Hotels International, Inc.",,,,,,7750 Wisconsin Ave,,Bethesda,MD,20814,,,2024-01-03,150.00,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5470.6,SB29.5470,SB29,ORG,"Marriott Hotels International, Inc.",,,,,,7750 Wisconsin Ave,,Bethesda,MD,20814,,,2024-01-03,715.52,,,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5471,,,ORG,"Rolla Group, LLC",,,,,,"211 S St, NW",,Washington,DC,20001,,,2024-01-22,14980.27,,Non-Contribution Account: Reimbursement (Vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB29,C00785899,SB29.5471.0,SB29.5471,SB29,ORG,Hyatt Hotels,,,,,,150 N Riverside Plaza,,Chicago,IL,60606,,,2024-01-22,1043.38,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5471.1,SB29.5471,SB29,ORG,Hyatt Hotels,,,,,,150 N Riverside Plaza,,Chicago,IL,60606,,,2024-01-22,1043.38,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5471.2,SB29.5471,SB29,ORG,Hyatt Hotels,,,,,,150 N Riverside Plaza,,Chicago,IL,60606,,,2024-01-22,917.78,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5471.3,SB29.5471,SB29,ORG,Hyatt Hotels,,,,,,150 N Riverside Plaza,,Chicago,IL,60606,,,2024-01-22,1020.54,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5471.4,SB29.5471,SB29,ORG,Hyatt Hotels,,,,,,150 N Riverside Plaza,,Chicago,IL,60606,,,2024-01-22,1020.54,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5471.5,SB29.5471,SB29,ORG,Hyatt Hotels,,,,,,150 N Riverside Plaza,,Chicago,IL,60606,,,2024-01-22,917.78,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5471.7,SB29.5471,SB29,ORG,InterContinental Hotels Group,,,,,,3 Ravinia Dr,Suite 100,Atlanta,GA,30346,,,2024-01-22,293.36,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5471.8,SB29.5471,SB29,ORG,InterContinental Hotels Group,,,,,,3 Ravinia Dr,Suite 100,Atlanta,GA,30346,,,2024-01-22,1433.01,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5471.9,SB29.5471,SB29,ORG,InterContinental Hotels Group,,,,,,3 Ravinia Dr,Suite 100,Atlanta,GA,30346,,,2024-01-22,1488.44,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5471.10,SB29.5471,SB29,ORG,InterContinental Hotels Group,,,,,,3 Ravinia Dr,Suite 100,Atlanta,GA,30346,,,2024-01-22,1488.44,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5471.11,SB29.5471,SB29,ORG,"Marriott Hotels International, Inc.",,,,,,7750 Wisconsin Ave,,Bethesda,MD,20814,,,2024-01-22,923.52,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5471.12,SB29.5471,SB29,ORG,"Marriott Hotels International, Inc.",,,,,,7750 Wisconsin Ave,,Bethesda,MD,20814,,,2024-01-22,900.58,,Lodging,,,,,,,,,,,,,,,,,,,X,
SB29,C00785899,SB29.5471.13,SB29.5471,SB29,ORG,"Marriott Hotels International, Inc.",,,,,,7750 Wisconsin Ave,,Bethesda,MD,20814,,,2024-01-22,992.34,,Lodging,,,,,,,,,,,,,,,,,,,X,
