form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00790790,EB3650,,,ORG,Constant Contact,,,,,,1601 Trapelo Road,,Waltham,MA,02451,,,2024-06-07,369.00,,Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3524,,,IND,,Lowe,Rachel,,,,157 Sanctuary,,Irvine,CA,92620,,,2024-04-02,200.00,,Website,001,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3523,,,IND,,Lowe,Rachel,,,,157 Sanctuary,,Irvine,CA,92620,,,2024-05-02,200.00,,Website,001,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3646,,,IND,,Lowe,Rachel,,,,157 Sanctuary,,Irvine,CA,92620,,,2024-05-03,331.20,,Website,001,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3649,,,IND,,Lowe,Rachel,,,,157 Sanctuary,,Irvine,CA,92620,,,2024-05-30,200.00,,Website,001,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3748,,,IND,,Roberts,Phyllis,,,,25392 Coach Springs Lane,,Laguna Hills,CA,92653,,,2024-06-27,47.23,,Name tags,001,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,XB1EB3748,EB3748,SB21B,ORG,Fivestar Rubber Stamp,,,,,,"1422 S. Allec Street, Suite D",,Anaheim,CA,92805,,,2024-06-27,47.23,,Name tags,001,,,,,,,,,,,,"Roberts, Phyllis",25392 Coach Springs Lane,,Laguna Hills,CA,92653,X,
SB21B,C00790790,EB3520,,,ORG,S.E. Owens & Company,,,,,,"312 Clay Street, Suite 300",,Oakland,CA,94607,,,2024-04-11,350.00,,Accounting & Compliance Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3647,,,ORG,S.E. Owens & Company,,,,,,"312 Clay Street, Suite 300",,Oakland,CA,94607,,,2024-05-30,350.00,,Accounting & Compliance Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3432,,,ORG,Santa Ana Country Club,,,,,,20382 Newport Boulevard,,Santa Ana,CA,92707,,,2024-04-11,4007.01,,Luncheon,007,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3591,,,ORG,Santa Ana Country Club,,,,,,20382 Newport Boulevard,,Santa Ana,CA,92707,,,2024-05-23,2292.49,,Luncheon,007,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3747,,,ORG,Santa Ana Country Club,,,,,,20382 Newport Boulevard,,Santa Ana,CA,92707,,,2024-06-20,3254.48,,Luncheon,007,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3457,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-01,13.28,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3458,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-02,11.48,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3459,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-03,4.38,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3460,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-06,8.31,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3461,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-08,12.70,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3462,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-09,2.19,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3463,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-13,16.17,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3464,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-15,3.93,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3512,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-17,7.55,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3513,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-22,7.86,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
SB21B,C00790790,EB3514,,,ORG,Stripe,,,,,,354 Oyster Point Blvd,,South San Francisc,CA,94080,,,2024-04-23,29.90,,Credit Card Fees,003,,,,,,,,,,,,,,,,,,,
