form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00825562,SB21B.9,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,421 OFFICE PARK DR ,,MOUNTAIN BROOK,AL,35223,,,2024-04-18,1661.95,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.14,,,ORG,THE GOBER GROUP PLLC,,,,,,PO BOX 341016,,AUSTIN,TX,78734,,,2024-04-18,200.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.6,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD STE 400,,TYSONS CORNER,VA,22182,,,2024-04-23,250.00,,DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.1,,,ORG,ANEDOT,,,,,,1340 POYDRAS ST SUITE 1770,,NEW ORLEANS,LA,70112,,,2024-05-03,100.30,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.2,,,ORG,ANEDOT,,,,,,1340 POYDRAS ST SUITE 1770,,NEW ORLEANS,LA,70112,,,2024-05-10,400.30,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.12,,,ORG,PPG POLITICAL CONSULTING LLC,,,,,,1520 S CHURCH AVE,,TAMPA,FL,33629,,,2024-05-16,1000.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.3,,,ORG,ANEDOT,,,,,,1340 POYDRAS ST SUITE 1770,,NEW ORLEANS,LA,70112,,,2024-05-18,200.30,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.4,,,ORG,ANEDOT,,,,,,1340 POYDRAS ST SUITE 1770,,NEW ORLEANS,LA,70112,,,2024-05-20,100.30,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.7,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD STE 400,,TYSONS CORNER,VA,22182,,,2024-05-21,250.00,,DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.17,,,ORG,THE CAVALIER HOTEL ,,,,,,4200 ATLANTIC AVE ,,VIRGINIA BEACH,VA,23451,,,2024-05-21,8371.28,,FACILITY RENTAL / FOOD / BEVERAGE / PARKING ,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.10,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,421 OFFICE PARK DR ,,MOUNTAIN BROOK,AL,35223,,,2024-05-23,2585.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.15,,,ORG,THE GOBER GROUP PLLC,,,,,,PO BOX 341016,,AUSTIN,TX,78734,,,2024-05-23,200.00,,LEGAL CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.18,,,IND,,GRITTE,PAGE,,,,3625 WEST SANTIAGO STREET,,TAMPA,FL,33629,,,2024-06-21,1455.09,,TRAVEL / PARKING ,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.19,SB21B.18,SB21B,ORG,AMERICAN AIRLINES ,,,,,,4333 AMON CARTER BLVD,,FORT WORTH ,TX,76155,,,2024-06-21,700.70,,TRAVEL ,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00825562,SB21B.22,SB21B.18,SB21B,ORG,ENTERPRISE RENT-A-CAR,,,,,,600 CORPORATE PARK DRIVE,,ST. LOUIS,MO,63105,,,2024-06-21,209.41,,TRAVEL ,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00825562,SB21B.20,SB21B.18,SB21B,ORG,THE CAVALIER HOTEL ,,,,,,4200 ATLANTIC AVE ,,VIRGINIA BEACH,VA,23451,,,2024-06-21,482.98,,TRAVEL ,,,,,,,,,,,,,  ,,,,,,X,
SB21B,C00825562,SB21B.8,,,ORG,CMDI,,,,,,1593 SPRING HILL ROAD STE 400,,TYSONS CORNER,VA,22182,,,2024-06-21,250.00,,DATABASE MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00825562,SB21B.11,,,ORG,CROSBY OTTENHOFF GROUP,,,,,,421 OFFICE PARK DR ,,MOUNTAIN BROOK,AL,35223,,,2024-06-21,1645.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
