form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00750182,SB21B.6121,,,ORG,AMERICAN EXPRESS,,,,,,PO BOX 1270,,NEWARK,NJ,07101,,,2023-07-03,345.00,,CREDIT CARD PAYMENT: CARD FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6122,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2023-07-08,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6123,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2023-09-19,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6124,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2023-10-04,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6125,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2023-11-15,3000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6126,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-07-13,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6127,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-07-18,2.50,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6128,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-08-11,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6129,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-08-23,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6130,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-09-13,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6131,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-09-25,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6132,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-10-27,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6133,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-10-27,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6134,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-10-31,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6135,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-11-13,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6136,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-11-17,2.50,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6137,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-12-04,2.50,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6138,,,ORG,"MOUNTAINTOP ADVISORS, LLC",,,,,,1100 NEW JERSEY AVE SE,STE 2163,WASHINGTON,DC,20003,,,2023-10-27,130000.00,,STRATEGY AND OPERATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6143,,,ORG,"THREE ARBOR INSURANCE, INC.",,,,,,2828 OLD 280 COURT,,VESTIVIA,AL,35243,,,2023-10-31,20992.76,,INSURANCE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6144,,,ORG,WILEY REIN LLP,,,,,,2050 M ST NW,,WASHINGTON,DC,20036,,,2023-07-13,4390.00,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6145,,,ORG,WILEY REIN LLP,,,,,,2050 M ST NW,,WASHINGTON,DC,20036,,,2023-08-11,1315.00,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6146,,,ORG,WILEY REIN LLP,,,,,,2050 M ST NW,,WASHINGTON,DC,20036,,,2023-09-12,1280.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6147,,,ORG,WILEY REIN LLP,,,,,,2050 M ST NW,,WASHINGTON,DC,20036,,,2023-10-13,98.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6148,,,ORG,WILEY REIN LLP,,,,,,2050 M ST NW,,WASHINGTON,DC,20036,,,2023-11-13,1083.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6150,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,,ARLINGTON,VA,22219,,,2023-07-10,9.85,,MERCHANT FEE,,,,,,,,,,,,,,,,,,,,
