form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00564260,EB2813,,,ORG,Alaska Airlines,,,,,,P.O. Box 68900,,Seattle,WA,98168,,,2023-08-07,318.50,,Airfare,002,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2812,,,ORG,Breeze Inn,,,,,,303 N Harbor Street,,Seward,AK,99664,,,2023-07-15,220.89,,Hotel room,002,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2815,,,ORG,Breeze Inn,,,,,,303 N Harbor Street,,Seward,AK,99664,,,2023-08-25,16.00,,Hotel room,002,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2814,,,ORG,Breeze Inn,,,,,,303 N Harbor Street,,Seward,AK,99664,,,2023-08-27,220.89,,Hotel room,002,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2664,,,IND,,Eiss,Coby,,,,"3750 Main Street, #202",,Riverside,CA,92501,,,2023-08-24,302.33,,Airfare,002,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,XB17EB2664,EB2664,SB21B,ORG,United Airlines,,,,,,233 S. Wacker Drive,,Chicago,IL,60606,,,2023-08-24,302.33,,Airfare,002,,,,,,,,,,,,"Eiss, Coby","3750 Main Street, #202",,Riverside,CA,92501,X,
SB21B,C00564260,EB2603,,,ORG,"Google, Inc.",,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-07-01,24.00,,Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2743,,,ORG,"Google, Inc.",,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-08-01,24.00,,Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2819,,,ORG,"Google, Inc.",,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-09-01,24.00,,Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2822,,,ORG,"Google, Inc.",,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-10-01,24.00,,Software,001,,,,,,,,,,,,,,,,,,,
SB21B,C00564260,EB2823,,,ORG,"Google, Inc.",,,,,,1600 Amphitheatre Parkway,,Mountain View,CA,94043,,,2023-11-01,24.00,,Software,001,,,,,,,,,,,,,,,,,,,
