form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00766196,SB21B.I38411,,,ORG,AMAZON,,,,,,440 TERRY AVE N,,SEATTLE,WA,981095210,,,2023-06-06,36.02,,OFFICE SUPPLIES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00766196,SB21B.I38459,,,ORG,BETHESDA BAGELS,,,,,,120 M STREET SOUTHEAST,,WASHINGTON,DC,20003,,,2023-06-08,50.87,,FOOD/BEVERAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00766196,SB21B.I38460,,,ORG,BETHESDA BAGELS,,,,,,120 M STREET SOUTHEAST,,WASHINGTON,DC,20003,,,2023-06-15,58.43,,FOOD/BEVERAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00766196,SB21B.I38458,,,ORG,CHICK-FIL-A,,,,,,5200 BUFFINGTON RD,,ATLANTA,GA,303492945,,,2023-06-07,216.99,,FOOD/BEVERAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00766196,SB21B.I39418,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD, STE 400",,TYSONS CORNER,VA,22182,,,2023-06-21,250.00,,DATA PROCESSING SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00766196,SB21B.I38413,,,ORG,GOLD STANDARD PUBLISHING LLC,,,,,,16192 COASTAL HIGHWAY,,LEWES,DE,19958,,,2023-06-08,2500.00,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00766196,SB21B.I38414,,,ORG,GOLD STANDARD PUBLISHING LLC,,,,,,16192 COASTAL HIGHWAY,,LEWES,DE,19958,,,2023-06-08,2500.00,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00766196,SB21B.I38415,,,ORG,GOLD STANDARD PUBLISHING LLC,,,,,,16192 COASTAL HIGHWAY,,LEWES,DE,19958,,,2023-06-08,2500.00,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00766196,SB21B.I38416,,,ORG,GOLD STANDARD PUBLISHING LLC,,,,,,16192 COASTAL HIGHWAY,,LEWES,DE,19958,,,2023-06-08,2500.00,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00766196,SB21B.I38417,,,ORG,GOLD STANDARD PUBLISHING LLC,,,,,,16192 COASTAL HIGHWAY,,LEWES,DE,19958,,,2023-06-08,2500.00,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00766196,SB21B.I38412,,,ORG,"LOVAS CO, LLC",,,,,,6635 W. HAPPY VALLEY RD.,"SUITE A-104, PMB 198",GLENDALE,AZ,85310,,,2023-06-08,1320.00,,FINANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
