form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00578609,500497587,,,ORG,Accessible Gourmet,,,,,,8000 Darbys Run,,Chagrin Falls,OH,440234838,,,2024-03-18,2247.50,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500491419,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-01-07,2181.41,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500491421,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-01-14,4087.32,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500491423,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-01-21,6519.37,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500491425,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-01-28,7370.29,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500491426,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-01-31,1606.29,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500491432,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-02-04,2220.92,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500491435,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-02-11,9367.49,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500494089,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-02-18,9415.03,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500494095,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-02-25,5202.05,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500494101,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-02-29,6125.00,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500494102,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-03-03,3349.70,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500494108,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-03-10,12114.80,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500497589,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-03-17,11458.06,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500497591,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-03-19,9620.26,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500497594,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-03-24,3928.76,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500497597,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-03-27,3993.53,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500497599,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-03-31,3293.40,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500491424,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,Frnt 1,Washington,DC,200061245,,,2024-01-26,206.62,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500494096,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,Frnt 1,Washington,DC,200061245,,,2024-02-27,152.48,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500497598,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,Frnt 1,Washington,DC,200061245,,,2024-03-27,154.19,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500491427,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,071011270,,,2024-02-01,5303.25,0.00,"Credit Card Payment, Below if Itemized",,,,,,,,,,,,,,,,,,,,
SB21B,C00578609,500491453,500491427,SB21B,ORG,American Airlines,,,,,,PO Box 619612,,Dallas,TX,752619612,,,2024-02-01,188.10,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00578609,500491456,500491427,SB21B,ORG,American Airlines,,,,,,PO Box 619612,,Dallas,TX,752619612,,,2024-02-01,653.21,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00578609,500491448,500491427,SB21B,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,071011270,,,2024-02-01,250.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,X,*
