form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00821231,SB21B.30969,,,ORG,BELIEVE MEDIA LLC,,,,,,41898 BENINGBROUGH PL,,LEESBURG,VA,20176,,,2024-06-27,35.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30972,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-06-14,0.07,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30973,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-06-17,12.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30974,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-06-20,9.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30975,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-06-24,4.75,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30976,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-06-25,18.75,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30977,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-06-26,0.75,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30978,,,ORG,ONMESSAGE DIGITAL FUNDRAISING LLC,,,,,,705 MELVIN AVE,#105,ANNAPOLIS,MD,21401,,,2024-06-27,8.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30984,,,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2024-06-13,1077.93,,COMPLIANCE CONSULTING & DATA PROCESSING SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30985,,,ORG,RIGHT COUNTRY LISTS,,,,,,117 NORTH SAINT ASAPH STREET,,ALEXANDRIA,VA,22314,,,2024-06-17,20.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30986,,,ORG,RIGHT RAIL LIST CO,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-06-17,38.28,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30987,,,ORG,RIGHT RAIL LIST CO,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-06-18,3.82,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30988,,,ORG,RIGHT RAIL LIST CO,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-06-21,420.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30989,,,ORG,RIGHT RAIL LIST CO,,,,,,705 MELVIN AVE,STE 105,ANNAPOLIS,MD,21401,,,2024-06-27,8.50,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30990,,,ORG,"TMA DIRECT, INC.",,,,,,1900 RESTON METRO PLAZA,SUITE 600,RESTON,VA,20190,,,2024-06-18,24.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30991,,,ORG,"TMA DIRECT, INC.",,,,,,1900 RESTON METRO PLAZA,SUITE 600,RESTON,VA,20190,,,2024-06-20,32.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30992,,,ORG,"TMA DIRECT, INC.",,,,,,1900 RESTON METRO PLAZA,SUITE 600,RESTON,VA,20190,,,2024-06-21,20.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30993,,,ORG,"TMA DIRECT, INC.",,,,,,1900 RESTON METRO PLAZA,SUITE 600,RESTON,VA,20190,,,2024-06-24,8.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30994,,,ORG,"WAMA STRATEGIES, LLC",,,,,,919 N MARKET ST,STE 725,WILMINGTON,DE,19801,,,2024-06-18,24.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30995,,,ORG,"WAMA STRATEGIES, LLC",,,,,,919 N MARKET ST,STE 725,WILMINGTON,DE,19801,,,2024-06-20,40.00,,FUNDRAISING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30996,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-03,0.07,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30997,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-04,0.04,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30998,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-06,0.06,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.30999,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-07,0.14,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.31000,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-10,0.02,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.31001,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-12,1.39,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.31002,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-13,0.07,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.31003,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-14,0.39,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.31004,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-17,4.33,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.31005,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-18,3.59,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.31006,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-20,3.55,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.31007,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-21,27.53,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.31008,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-24,1.59,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.31009,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-25,5.29,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00821231,SB21B.31010,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-06-26,10.16,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
