form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00034827,SB23.27314,,,CAN,,BALDERSON,WILLIAM TROY,,,,417 COVENTRY CIRCLE,,ZANESVILLE,OH,43701,G2024,,2024-09-11,1000.00,,political contribution,,C00662650,BALDERSON FOR CONGRESS,,,,,,,H,OH,12,,,,,,,,
SB23,C00034827,SB23.27338,,,CCM,BETH VAN DUYNE FOR CONGRESS,,,,,,PO BOX 630167,,IRVING,TX,75063,G2024,,2024-09-11,1000.00,,political contributino,,C00714865,BETH VAN DUYNE FOR CONGRESS,,,,,,,H,TX,24,,,,,,,,
SB23,C00034827,SB23.27348,,,CCM,BRITTANY PETTERSEN FOR COLORADO,,,,,,PO BOX 150887,,LAKEWOOD,CO,80215,G2024,,2024-09-11,1000.00,,POLITICAL CONTRIBUTION,,C00637215,BRITTANY PETTERSEN FOR COLORADO,,,,,,,H,CO,07,,,,,,,,
SB23,C00034827,SB23.27254,,,CAN,,Brown,Sherrod,,,,PO BOX 76187,Suite 800,WASHINGTON,DC,20013,G2024,,2024-07-22,1000.00,,political contribution,,C00264697,FRIENDS OF SHERROD BROWN,,,,,,,S,OH,00,,,,,,,,
SB23,C00034827,SB23.27256,,,CAN,,Brown,Sherrod,,,,PO BOX 76187,Suite 800,WASHINGTON,DC,20013,G2024,,2024-08-20,1000.00,,,,C00264697,FRIENDS OF SHERROD BROWN,,,,,,,S,OH,00,,,,,,,,
SB23,C00034827,SB23.27200,,,CAN,,Brown,Shontel,,,,PO BOX 221232,,BEACHWOOD,OH,44122,G2024,,2024-07-11,2500.00,,political contrtibution,,C00764381,SHONTEL BROWN FOR CONGRESS,,,,,,,H,OH,11,,,,,,,,
SB23,C00034827,SB23.27323,,,CCM,FRIENDS OF DAVE JOYCE,,,,,,320 KENARDEN DRIVE,,CLEVELAND,OH,44143,G2024,,2024-09-17,1000.00,,political contribution,,C00527457,FRIENDS OF DAVE JOYCE,,,,,,,H,OH,14,,,,,,,,
SB23,C00034827,SB23.27320,,,CCM,Friends of Tom Patton,,,,,,17157 Rabbit Run Drive,,Strongsville,OH,44136,G2024,,2024-09-11,500.00,,political donation,,,Friends of Tom Patton,,,,,,,S,OH,,,,,,,,,
SB23,C00034827,SB23.27312,,,CAN,,Kaptur,Marcy,,Mrs.,,P. O. Box 899,,Toledo,OH,43697,G2024,,2024-08-20,1000.00,,political donation,,C00154625,KAPTUR FOR CONGRESS,,,,,,,H,OH,09,,,,,,,,
SB23,C00034827,SB23.27313,,,CAN,,SMITH,ADRIAN,,,,3321 AVENUE I,,SCOTTSBLUFF,NE,69361,G2024,,2024-09-11,1000.00,,political contribution,,C00412890,ADRIAN SMITH FOR CONGRESS,,,,,,,H,NE,03,,,,,,,,
SB23,C00034827,SB23.27336,,,CCM,WICKER FOR SENATE,,,,,,PO BOX 64,,JACKSON,MS,39205,G2024,,2024-09-11,1000.00,,political contribution,,C00443218,WICKER FOR SENATE,,,,,,,S,MS,00,,,,,,,,
