form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00405050,500174850,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-10-27,525.35,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500174404,,,ORG,Enterprise Rent A Car,,,,,,395 7Th St E,,Saint Paul,MN,551012450,,,2024-10-18,406.34,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500174620,,,ORG,Expedia,,,,,,333 108Th Ave NE,,Bellevue,WA,980045703,,,2024-11-05,418.44,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500174408,,,ORG,MGM Grand,,,,,,3799 Las Vegas Blvd S,,Las Vegas,NV,891094319,,,2024-10-31,1398.65,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500174624,,,ORG,MGM Grand,,,,,,3799 Las Vegas Blvd S,,Las Vegas,NV,891094319,,,2024-11-01,51.02,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500174625,,,ORG,MGM Grand,,,,,,3799 Las Vegas Blvd S,,Las Vegas,NV,891094319,,,2024-11-01,51.02,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500174403,,,ORG,Uber,,,,,,1515 3Rd St,,San Francisco,CA,941582211,,,2024-10-17,36.68,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500174405,,,ORG,Uber,,,,,,1515 3Rd St,,San Francisco,CA,941582211,,,2024-10-30,43.12,0.00,Travel Expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500174618,,,ORG,University Club Of Saint Paul,,,,,,420 Summit Ave,,Saint Paul,MN,551022624,,,2024-11-12,109.51,0.00,Food & Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500174407,,,ORG,Wolfgang Puck,,,,,,Denver International Airport,8500 Pena Blvd,Denver,CO,80249,,,2024-10-31,121.32,0.00,Food & Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00405050,500174621,,,ORG,Wolfgang Puck,,,,,,Denver International Airport,8500 Pena Blvd,Denver,CO,80249,,,2024-11-01,121.96,0.00,Food & Beverage,,,,,,,,,,,,,,,,,,,,
