form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00493072,SB21B001,,,ORG,RIGHTSIDE COMPLIANCE,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-05-05,1920.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00493072,SB21B002,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD, SUITE 400",,TYSONS CORNER,VA,22182,,,2023-05-09,250.00,,DATABASE MANAGEMENT SERVICE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00493072,SB21B003,,,ORG,THE HENRI,,,,,,1301 PENNSYLVANIA AVE NW,,WASHINGTON,DC,20004,,,2023-05-10,800.00,,FOOD/BEVERAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00493072,SB21B004,,,ORG,KIMPTON HOTELS,,,,,,222 KEARNY ST STE 200,,SAN FRANCISCO,CA,94108,,,2023-05-18,400.00,,FOOD/BEVERAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00493072,SB21B005,,,ORG,EAGLE GRILL,,,,,,220 HARBOR DR,,BOCA GRANDE,FL,33921,,,2023-05-22,4143.87,,FOOD/BEVERAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00493072,SB21B006,,,ORG,INTUIT,,,,,,2700 COAST AVE,,MOUNTAIN VIEW,CA,94043,,,2023-05-22,80.00,,SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00493072,SB21B007,,,ORG,DELTA AIRLINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30320,,,2023-05-23,1206.40,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00493072,SB21B008,,,ORG,GASPARILLA INN,,,,,,500 PALM AVE,,BOCA GRANDE,FL,33921,,,2023-05-26,338.07,,FACILITY RENTAL/CATERING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00493072,SB21B011,,,IND,,EBERHARD,TONY,,,,PO BOX 3206,,BISMARCK,ND,58502,,,2023-05-31,359.41,,TRAVEL - NO ITEMIZATION NECESSARY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00493072,SB21B009,,,IND,,NITSCHKE,CAROL,,,,PO BOX 3206,,BISMARCK,ND,58501,,,2023-05-31,300.00,,POLITICAL STRATEGY CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00493072,SB21B010,,,PTY,NORTH DAKOTA REPUBLICAN PARTY,,,,,,1029 N 5 ST,,BISMARCK,ND,58501,,,2023-05-31,116.00,,RENT,,C00018929,,,,,,,,,,,  ,,,,,,,
