form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00732172,SB21B.4129,,,ORG,"CFO Compliance, LLC",,,,,,"One Park Row, 5th Floor",,Providence,RI,20903,,,2023-02-01,3001.20,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00732172,SB21B.4124,,,ORG,Elias Law Group,,,,,,250 Massachusetts Ave NW Ste 400,,Washington,DC,20001,,,2023-04-06,497.25,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00732172,SB21B.4125,,,ORG,Elias Law Group,,,,,,250 Massachusetts Ave NW Ste 400,,Washington,DC,20001,,,2023-04-20,3944.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00732172,SB21B.4126,,,ORG,Elias Law Group,,,,,,250 Massachusetts Ave NW Ste 400,,Washington,DC,20001,,,2023-05-16,911.62,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00732172,SB21B.4127,,,ORG,Elias Law Group,,,,,,250 Massachusetts Ave NW Ste 400,,Washington,DC,20001,,,2023-06-19,2170.68,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00732172,SB21B.4117,,,ORG,MailChimp,,,,,,675 Ponce De Leon Ave NE,Suite 5000,Atlanta,GA,30308,,,2023-01-12,588.50,,Subscription,,,,,,,,,,,,,,,,,,,,
SB21B,C00732172,SB21B.4118,,,ORG,MailChimp,,,,,,675 Ponce De Leon Ave NE,Suite 5000,Atlanta,GA,30308,,,2023-02-13,588.50,,Subscription,,,,,,,,,,,,,,,,,,,,
SB21B,C00732172,SB21B.4119,,,ORG,MailChimp,,,,,,675 Ponce De Leon Ave NE,Suite 5000,Atlanta,GA,30308,,,2023-03-13,588.50,,Subscription,,,,,,,,,,,,,,,,,,,,
SB21B,C00732172,SB21B.4120,,,ORG,MailChimp,,,,,,675 Ponce De Leon Ave NE,Suite 5000,Atlanta,GA,30308,,,2023-04-12,588.50,,Subscription,,,,,,,,,,,,,,,,,,,,
SB21B,C00732172,SB21B.4121,,,ORG,MailChimp,,,,,,675 Ponce De Leon Ave NE,Suite 5000,Atlanta,GA,30308,,,2023-05-12,588.50,,Subscription,,,,,,,,,,,,,,,,,,,,
SB21B,C00732172,SB21B.4122,,,ORG,MailChimp,,,,,,675 Ponce De Leon Ave NE,Suite 5000,Atlanta,GA,30308,,,2023-06-12,588.50,,Subscription,,,,,,,,,,,,,,,,,,,,
SB21B,C00732172,SB21B.4116,,,ORG,NGP VAN Inc.,,,,,,655 15th St NW #650,,Washington,DC,20005,,,2023-01-03,1605.00,,Database Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00732172,SB21B.4115,,,ORG,Outperform Strategies,,,,,,2024 Grasmere Dr,,Louisville,KY,40205,,,2023-03-01,5000.00,,Strategic Consulting Services,,,,,,,,,,,,,,,,,,,,
