form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00083279,EB86169,,,ORG,ARCADIA ASSOCIATION OF REALTORS,,,,,,601 S. FIRST AVE.,,ARCADIA,CA,91006,,,2024-02-09,525.00,,REIMBURSEMENT FOR FUNDRAISING EXPENSES,003,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86155,,,ORG,CALIFORNIA ASSOCIATION OF REALTORS,,,,,,"915 L STREET, STE. 1460",,SACRAMENTO,CA,95814,,,2024-01-31,27904.45,,REIMBURSEMENT FOR FUNDRAISING EXPENSE,003,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86160,,,ORG,CALIFORNIA ASSOCIATION OF REALTORS,,,,,,"915 L STREET, STE. 1460",,SACRAMENTO,CA,95814,,,2024-01-31,5429.86,,REIMBURSEMENT FOR FUNDRAISING EXPENSE,003,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86157,,,ORG,CALIFORNIA ASSOCIATION OF REALTORS,,,,,,"915 L STREET, STE. 1460",,SACRAMENTO,CA,95814,,,2024-01-31,4025.51,,REIMBURSEMENT FOR FUNDRAISING EXPENSE,003,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86170,,,ORG,CALIFORNIA ASSOCIATION OF REALTORS,,,,,,"915 L STREET, STE. 1460",,SACRAMENTO,CA,95814,,,2024-02-15,22009.75,,BANK CHARGES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86172,,,ORG,CALIFORNIA ASSOCIATION OF REALTORS,,,,,,"915 L STREET, STE. 1460",,SACRAMENTO,CA,95814,,,2024-02-15,14354.86,,BANK CHARGES,001,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86177,,,ORG,CALIFORNIA ASSOCIATION OF REALTORS,,,,,,"915 L STREET, STE. 1460",,SACRAMENTO,CA,95814,,,2024-03-25,29416.92,,REIMBURSEMENT FOR FUNDRAISING EXPENSE,003,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86174,,,ORG,CALIFORNIA ASSOCIATION OF REALTORS,,,,,,"915 L STREET, STE. 1460",,SACRAMENTO,CA,95814,,,2024-03-25,1260.00,,REIMBURSEMENT FOR FUNDRAISING EXPENSE,003,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86664,,,ORG,MERRILL LYNCH,,,,,,"5260 N. PALM AVE., STE. 100",,FRESNO,CA,93704,,,2024-02-21,204.50,,BANK CHARGE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86665,,,ORG,MERRILL LYNCH,,,,,,"5260 N. PALM AVE., STE. 100",,FRESNO,CA,93704,,,2024-02-28,17.00,,BANK CHARGE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86666,,,ORG,MERRILL LYNCH,,,,,,"5260 N. PALM AVE., STE. 100",,FRESNO,CA,93704,,,2024-03-19,204.50,,BANK CHARGE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86667,,,ORG,MERRILL LYNCH,,,,,,"5260 N. PALM AVE., STE. 100",,FRESNO,CA,93704,,,2024-03-26,17.00,,BANK CHARGE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86669,,,ORG,MERRILL LYNCH,,,,,,"5260 N. PALM AVE., STE. 100",,FRESNO,CA,93704,,,2024-03-28,15.00,,BANK CHARGE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86668,,,ORG,MERRILL LYNCH,,,,,,"5260 N. PALM AVE., STE. 100",,FRESNO,CA,93704,,,2024-03-28,17.00,,BANK CHARGE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB86670,,,ORG,MERRILL LYNCH,,,,,,"5260 N. PALM AVE., STE. 100",,FRESNO,CA,93704,,,2024-03-31,30.00,,BANK CHARGE,001,,,,,,,,,,,,,,,,,,,
SB21B,C00083279,EB84274,,,ORG,RANCHO SOUTHEAST ASSOCIATION OF REALTORS,,,,,,"10900 E. 183RD ST., STE. 120",,CERRITOS,CA,90703,,,2024-01-04,350.00,,REIMBURSEMENT FOR FUNDRAISING EXPENSE,003,,,,,,,,,,,,,,,,,,,
