form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00011114,500026593,,,ORG,Amalgamated Bank Loans,,,,,,275 7th Street,,New York,NY,100016708,,,2023-02-17,20291.26,0.00,Interest payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026760,,,COM,Minnesota Council Number 5,,,,,,300 Hardman Ave S,,South St Paul,MN,550752471,,,2023-02-28,4.00,0.00,Service Charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026525,,,ORG,UnionWare,,,,,,P.O. Box 930473,,Atlanta,GA,311930473,,,2023-02-10,853.18,0.00,Merchant Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026761,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-01,47.96,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026762,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-02,32.41,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026763,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-03,11.69,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026764,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-06,19.98,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026765,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-07,37.12,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026766,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-08,14.53,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026767,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-09,9.63,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026768,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-10,92.41,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026769,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-13,33.43,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026770,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-14,4.94,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026771,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-15,7.40,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026772,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-16,8.73,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026773,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-17,12.36,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026774,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-21,25.31,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026775,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-22,3.44,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026776,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-23,1.67,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026777,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-24,3.74,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026778,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-27,26.14,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026779,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-02-28,34.21,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
