form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00011114,500026920,,,ORG,Amalgamated Bank Loans,,,,,,275 7th Street,,New York,NY,100016708,,,2023-05-18,11480.20,0.00,Interest Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500026890,,,ORG,UnionWare,,,,,,P.O. Box 930473,,Atlanta,GA,311930473,,,2023-05-09,733.61,0.00,Merchant Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027118,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-01,105.08,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027119,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-02,28.91,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027120,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-03,16.62,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027121,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-04,8.73,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027122,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-05,13.81,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027123,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-08,21.75,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027124,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-09,7.04,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027125,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-10,10.98,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027126,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-11,4.32,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027127,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-12,4.62,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027128,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-15,20.35,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027129,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-16,8.41,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027130,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-17,12.16,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027131,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-18,2.65,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027132,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-19,16.78,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027133,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-22,41.36,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027134,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-23,6.78,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027135,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-24,5.90,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027136,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-25,3.96,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027137,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-26,9.31,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027138,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-30,100.74,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
SB21B,C00011114,500027139,,,ORG,"WEPAY, Inc.",,,,,,350 Convention Way,Suite 200,Redwood City,CA,940631436,,,2023-05-31,6.69,0.00,Service Charge,001,,,,,,,,,,,,,,,,,,,
