form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00839407,500000001,,,ORG,ActBlue Technical Services,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2024-09-30,23703.94,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000010,,,ORG,Blue Scout Digital,,,,,,2505 Royal Birkdale Dr,,Plano,TX,750255067,,,2024-07-12,1800.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000011,,,ORG,Blue Scout Digital,,,,,,2505 Royal Birkdale Dr,,Plano,TX,750255067,,,2024-08-19,4666.00,0.00,Digital Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000014,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-07-05,4791.10,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000015,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-07-05,5000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000016,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-07-22,21000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000017,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-07-23,15000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000018,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-07-24,25000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000028,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-07-25,35430.80,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000030,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-07-26,15000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
SB21B,C00839407,500000020,,,ORG,Democratic Capitalism Initiative,,,,,,712 H St NE,Pmb 96,Washington,DC,200023627,,,2024-07-31,15000.00,0.00,Phone Banking and Operations Support,,,,,,,,,,,,,,,,,,,,
