form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00804153,500490084,,,PAC,ACTBLUE,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-12-31,555.58,0.00,Merchant Fee,,C00401224,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500480436,,,ORG,"Balodis Group, LLC",,,,,,1843 Sperrys Forge Trl,,Westlake,OH,441452071,,,2023-07-13,1000.00,0.00,Fundraising Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500480437,,,ORG,"Balodis Group, LLC",,,,,,1843 Sperrys Forge Trl,,Westlake,OH,441452071,,,2023-08-21,1000.00,0.00,Fundraising Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500480438,,,ORG,"Balodis Group, LLC",,,,,,1843 Sperrys Forge Trl,,Westlake,OH,441452071,,,2023-09-18,1000.00,0.00,Fundraising Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500484951,,,ORG,"Balodis Group, LLC",,,,,,1843 Sperrys Forge Trl,,Westlake,OH,441452071,,,2023-10-18,1000.00,0.00,Fundraising Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500487243,,,ORG,"Balodis Group, LLC",,,,,,1843 Sperrys Forge Trl,,Westlake,OH,441452071,,,2023-11-15,1000.00,0.00,Fundraising Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500489052,,,ORG,"Balodis Group, LLC",,,,,,1843 Sperrys Forge Trl,,Westlake,OH,441452071,,,2023-12-14,1000.00,0.00,Fundraising Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500484944,,,ORG,BlingzPromo,,,,,,1734 Clarkson Rd,# 211,Chesterfield,MO,630174976,,,2023-10-13,1067.93,0.00,Legacy Event Gift Merchandise,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500480440,,,ORG,GoDaddy.Com,,,,,,14455 N Hayden Rd,Ste 226,Scottsdale,AZ,852606993,,,2023-08-21,77.63,0.00,Web Hosting,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500484952,,,ORG,Hilton,,,,,,100 Lakeside Ave E,,Cleveland,OH,441141020,,,2023-10-19,2541.56,0.00,Event Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00804153,500480439,,,IND,,Hughes,Latif,,,,101 North St,,Cleveland,OH,44222,,,2023-09-01,540.00,0.00,Legacy Event Photography,,,,,,,,,,,,,,,,,,,,
