form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00426874,1684854002303,,,PAC,Daines Senate Majority Fund,,,,,,"228 S Washington Street, Suite 115",,Alexandria,VA,22314,,,2023-05-23,1500.00,,PAC Political Contribution,011,,,,,,,,,,VA
SB23,C00426874,1677789582062,,,CCM,Friends of John Barrasso,,,,,,6896 CASPER MOUNTAIN RD,,CASPER,WY,82601,P2024,,2023-03-02,1500.00,,PAC Political Contribution,011,C00436386,,S6WY00068,Barrasso,John,,,,S,WY,00
SB23,C00426874,1683815641427,,,CCM,Friends of Sherrod Brown,,,,,,PO Box 76187,Suite 800,Washington,DC,20013,P2024,,2023-05-11,5000.00,,PAC Political Contribution,011,C00264697,,S6OH00163,Brown,Sherrod,,,,S,OH,00
SB23,C00426874,1679355105037,,,PAC,Great Lakes PAC,,,,,,PO BOX 1295,Suite 600,East Lansing,MI,488262000,,,2023-03-20,5000.00,,PAC Political Contribution,011,C00375584
SB23,C00426874,1678809169003,,,CCM,Hern for Congress,,,,,,8630 S Peoria Avenue,,Tulsa,OK,74132,P2024,,2023-03-13,5000.00,,PAC Political Contribution,011,C00636092,,,Hern,Kevin,,,,H,OK,01
SB23,C00426874,1676303596764,,,CCM,Judy Chu for Congress,,,,,,1663 Ventura Blvd. #1008,,Encino,CA,91436,P2024,,2023-02-13,1000.00,,PAC Political Contribution,011,C00458125,,,Chu,Judy,,,,H,CA,27
SB23,C00426874,1677699710238,,,CCM,Katherine Clark for Congress,,,,,,PO Box 361,,Malden,MA,02148,P2024,,2023-03-01,2500.00,,PAC Political Contribution,011,C00541888,,,Clark,Katherine,,,,H,MA,05
SB23,C00426874,1679426500092,,,CCM,Menendez for Senate,,,,,,PO Box 32248,,Newark,NJ,071020648,G2024,,2023-03-21,1000.00,,PAC Political Contribution,011,C00264564,,S6NJ00289,Menendez,Robert,,,,S,NJ,00
SB23,C00426874,1682088444322,,,PAC,Mr. Southern Missourian in the House PAC,,,,,,P.O. Box 30844,,Bethesda,MD,20824,,,2023-04-21,5000.00,,PAC Political Contribution,011,C00563726,,,,,,,,,MO
SB23,C00426874,1679426440972,,,PAC,New Millennium PAC,,,,,,One Gateway Center,Suite 530,Newark,NJ,07102,2024,,2023-03-21,1000.00,,PAC Political Contribution,011,C00349233
SB23,C00426874,1680015228246,,,CCM,Sinema for Arizona,,,,,,P.O. Box 7586,,Phoenix,AZ,85011,G2024,,2023-03-28,4000.00,,PAC Political Contribution,011,C00508804,,,Sinema,Krysten,,,,S,AZ,00
SB23,C00426874,1686759442366,,,PAC,The Hawkeye PAC,,,,,,PO Box 7255,,Des Moines,IA,50309,,,2023-06-14,5000.00,,PAC Political Contribution,011,C00379479
