form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00638122,501079758,,,ORG,"Democracy Engine, LLC",,,,,,850 Quincy St NW,Apt 402,Washington,DC,200115873,,,2023-07-19,10.30,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00638122,501079759,,,ORG,"Democracy Engine, LLC",,,,,,850 Quincy St NW,Apt 402,Washington,DC,200115873,,,2023-07-28,4.30,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00638122,501110868,,,ORG,"Democracy Engine, LLC",,,,,,850 Quincy St NW,Apt 402,Washington,DC,200115873,,,2023-09-27,170.80,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00638122,501110869,,,ORG,"Democracy Engine, LLC",,,,,,850 Quincy St NW,Apt 402,Washington,DC,200115873,,,2023-09-30,68.40,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00638122,501110874,,,ORG,"Democracy Engine, LLC",,,,,,850 Quincy St NW,Apt 402,Washington,DC,200115873,,,2023-10-11,77.10,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00638122,501110875,,,ORG,"Democracy Engine, LLC",,,,,,850 Quincy St NW,Apt 402,Washington,DC,200115873,,,2023-10-18,104.40,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00638122,501130552,,,ORG,"Democracy Engine, LLC",,,,,,850 Quincy St NW,Apt 402,Washington,DC,200115873,,,2023-11-06,6.50,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00638122,501130553,,,ORG,"Democracy Engine, LLC",,,,,,850 Quincy St NW,Apt 402,Washington,DC,200115873,,,2023-12-13,169.20,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00638122,501130554,,,ORG,"Democracy Engine, LLC",,,,,,850 Quincy St NW,Apt 402,Washington,DC,200115873,,,2023-12-20,12.60,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00638122,501130555,,,ORG,"Democracy Engine, LLC",,,,,,850 Quincy St NW,Apt 402,Washington,DC,200115873,,,2023-12-27,21.80,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00638122,501130556,,,ORG,"Democracy Engine, LLC",,,,,,850 Quincy St NW,Apt 402,Washington,DC,200115873,,,2023-12-31,6.30,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
