form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00696666,500457662,,,CCM,ADAM FOR COLORADO,,,,,,1515 MOUNTAIN VIEW Dr,Ste 213,Aspen,CO,81611,P2024,,2023-07-21,75.00,0.00,In-kind Fundraising Email,,C00805275,,,FRISCH,ADAM,,,,H,CO,03,,,,,,,X,*
SB23,C00696666,500653053,,,CCM,ANDY KIM FOR NEW JERSEY,,,,,,PO Box 211,,Marlton,NJ,080530211,P2024,,2023-09-27,37.50,0.00,In-kind Fundraising Email,,C00648220,,,KIM,ANDY,,,,H,NJ,03,,,,,,,X,*
SB23,C00696666,500653047,,,CCM,COLIN ALLRED FOR SENATE,,,,,,PO Box 601631,,Dallas,TX,753601631,P2024,,2023-08-03,75.00,0.00,In-kind Fundraising Email,,C00839597,,,Allred,Colin,,,,,TX,,,,,,,,X,*
SB23,C00696666,500653048,,,CCM,COLIN ALLRED FOR SENATE,,,,,,PO Box 601631,,Dallas,TX,753601631,P2024,,2023-09-17,25.00,0.00,In-kind Fundraising Email,,C00839597,,,Allred,Colin,,,,,TX,,,,,,,,X,*
SB23,C00696666,500653054,,,CCM,COLIN ALLRED FOR SENATE,,,,,,PO Box 601631,,Dallas,TX,753601631,P2024,,2023-12-20,50.00,0.00,In-kind Fundraising Email,,C00839597,,,Allred,Colin,,,,,TX,,,,,,,,X,*
SB23,C00696666,500653059,,,CCM,FRIENDS OF LUCY MCBATH,,,,,,375 Rockbridge Rd NW,Ste Pm 172,Lilburn,GA,300476070,P2024,,2023-11-29,75.00,0.00,In-kind Fundraising Email,,C00672295,,,MCBATH,LUCIA,MS.,,,H,GA,06,,,,,,,X,*
SB23,C00696666,500653060,,,CCM,FRIENDS OF LUCY MCBATH,,,,,,375 Rockbridge Rd NW,Ste Pm 172,Lilburn,GA,300476070,P2024,,2023-12-08,75.00,0.00,In-kind Fundraising Email,,C00672295,,,MCBATH,LUCIA,MS.,,,H,GA,06,,,,,,,X,*
SB23,C00696666,500653049,,,CCM,GALLEGO FOR ARIZONA,,,,,,PO Box 1710,,Phoenix,AZ,850011710,P2024,,2023-08-28,75.00,0.00,In-kind Fundraising Email,,C00558627,,,GALLEGO,RUBEN,,,,H,AZ,03,,,,,,,X,*
SB23,C00696666,500653050,,,CCM,GALLEGO FOR ARIZONA,,,,,,PO Box 1710,,Phoenix,AZ,850011710,P2024,,2023-09-09,37.50,0.00,In-kind Fundraising Email,,C00558627,,,GALLEGO,RUBEN,,,,H,AZ,03,,,,,,,X,*
SB23,C00696666,500653051,,,CCM,GALLEGO FOR ARIZONA,,,,,,PO Box 1710,,Phoenix,AZ,850011710,P2024,,2023-09-16,37.50,0.00,In-kind Fundraising Email,,C00558627,,,GALLEGO,RUBEN,,,,H,AZ,03,,,,,,,X,*
SB23,C00696666,500653057,,,CCM,GALLEGO FOR ARIZONA,,,,,,PO Box 1710,,Phoenix,AZ,850011710,P2024,,2023-10-02,75.00,0.00,In-kind Fundraising Email,,C00558627,,,GALLEGO,RUBEN,,,,H,AZ,03,,,,,,,X,*
SB23,C00696666,500653058,,,CCM,GALLEGO FOR ARIZONA,,,,,,PO Box 1710,,Phoenix,AZ,850011710,P2024,,2023-12-19,75.00,0.00,In-kind Fundraising Email,,C00558627,,,GALLEGO,RUBEN,,,,H,AZ,03,,,,,,,X,*
SB23,C00696666,500653052,,,CCM,GLORIA FOR TENNESSEE,,,,,,73 White Bridge Pike,Ste Pm 103,Nashville,TN,372051444,P2024,,2023-09-20,37.50,0.00,In-kind Fundraising Email,,C00847400,,,JOHNSON,GLORIA,,,,S,TN,,,,,,,,X,*
SB23,C00696666,500653043,,,CCM,LUCAS KUNCE FOR MISSOURI,,,,,,PO Box 1240,,Independence,MO,640510740,P2024,,2023-08-23,75.00,0.00,In-kind Fundraising Email,,C00771972,,,KUNCE,LUCAS,,,,S,MO,,,,,,,,X,*
SB23,C00696666,500653044,,,CCM,LUCAS KUNCE FOR MISSOURI,,,,,,PO Box 1240,,Independence,MO,640510740,P2024,,2023-09-14,37.50,0.00,In-kind Fundraising Email,,C00771972,,,KUNCE,LUCAS,,,,S,MO,,,,,,,,X,*
SB23,C00696666,500653045,,,CCM,LUCAS KUNCE FOR MISSOURI,,,,,,PO Box 1240,,Independence,MO,640510740,P2024,,2023-09-17,25.00,0.00,In-kind Fundraising Email,,C00771972,,,KUNCE,LUCAS,,,,S,MO,,,,,,,,X,*
SB23,C00696666,500653046,,,CCM,LUCAS KUNCE FOR MISSOURI,,,,,,PO Box 1240,,Independence,MO,640510740,P2024,,2023-09-23,37.50,0.00,In-kind Fundraising Email,,C00771972,,,KUNCE,LUCAS,,,,S,MO,,,,,,,,X,*
SB23,C00696666,500653055,,,CCM,LUCAS KUNCE FOR MISSOURI,,,,,,PO Box 1240,,Independence,MO,640510740,P2024,,2023-10-21,75.00,0.00,In-kind Fundraising Email,,C00771972,,,KUNCE,LUCAS,,,,S,MO,,,,,,,,X,*
SB23,C00696666,500653056,,,CCM,LUCAS KUNCE FOR MISSOURI,,,,,,PO Box 1240,,Independence,MO,640510740,P2024,,2023-12-20,50.00,0.00,In-kind Fundraising Email,,C00771972,,,KUNCE,LUCAS,,,,S,MO,,,,,,,,X,*
SB23,C00696666,500457327,,,CCM,MONDAIRE FOR CONGRESS,,,,,,499 S Capitol St SW,Ste 407,Washington,DC,200034016,P2024,,2023-07-05,75.00,0.00,In-kind Fundraising Email,,C00711150,,,JONES,MONDAIRE,,,,H,NY,17,,,,,,,X,*
SB23,C00696666,500457726,,,CCM,MONTANANS FOR TESTER,,,,,,PO Box 1135,,Helena,MT,596241135,P2024,,2023-07-08,150.00,0.00,In-kind Fundraising Email,,C00412304,,,TESTER,R. JON,,,,S,MT,,,,,,,,X,*
SB23,C00696666,500457619,,,CCM,MONTANANS FOR TESTER,,,,,,PO Box 1135,,Helena,MT,596241135,P2024,,2023-07-27,75.00,0.00,In-kind Fundraising Email,,C00412304,,,TESTER,R. JON,,,,S,MT,,,,,,,,X,*
SB23,C00696666,500653062,,,CCM,SUOZZI FOR CONGRESS,,,,,,PO Box 669,,Glen Cove,NY,115420669,O2024,Special General,2023-12-16,75.00,0.00,In-kind Fundraising Email,,C00607200,,,SUOZZI,THOMAS,,,,H,NY,03,,,,,,,X,*
SB23,C00696666,500653063,,,CCM,SUOZZI FOR CONGRESS,,,,,,PO Box 669,,Glen Cove,NY,115420669,O2024,Special General,2023-12-28,75.00,0.00,In-kind Fundraising Email,,C00607200,,,SUOZZI,THOMAS,,,,H,NY,03,,,,,,,X,*
SB23,C00696666,500653061,,,CCM,TAMMY BALDWIN FOR SENATE,,,,,,PO Box 696,,Madison,WI,537010696,P2024,,2023-12-07,75.00,0.00,In-kind Fundraising Email,,C00326801,,,BALDWIN,TAMMY,,,,S,WI,,,,,,,,X,*
