form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00001636,SB23.73393,,,ORG,Arizona Democratic Party - Governor Fund,,,,,,P.O. Box 36123,,Phoenix,AZ,85067,,,2023-10-04,10000.00,,Arizona Democratic Party Governor Fund,,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73375,,,PAC,ASPIRE PAC,,,,,,"910 17th St NW, Ste 925",,Washington,DC,20006,,,2023-10-04,2500.00,,ASPIRE PAC,,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73366,,,CCM,Bob Casey for Senate,,,,,,"750 First Street NE, Suite 1070",,Washington,DC,20002,G2024,,2023-10-04,1500.00,,"Senate, PA",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73359,,,CCM,Chris Deluzio for Congress,,,,,,P.O. Box 16210,,Pittsburgh,PA,15242,G2024,,2023-10-04,2500.00,,"House, PA, 17 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73464,,,CCM,Cohen for Congress,,,,,,"228 2nd Street, SE",,Washington,DC,20003,P2024,,2023-10-19,1000.00,,"House, TN, 9 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73486,,,CCM,Donald M. Payne Jr. for Congress,,,,,,"660 Pennsylvania Ave SE, Suite 202",,Washington,DC,20003,G2024,,2023-10-23,1000.00,,"House, NJ, 10 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73433,,,CCM,Foushee for Congress,,,,,,114 Lexington Drive,c/o Halle Mayes,Silver Spring,MD,20901,G2024,,2023-10-16,1000.00,,"House, NC, 4 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73435,,,CCM,Friends of Chris Smith,,,,,,2817 N Jefferson St,,Arlington,VA,22207,P2024,,2023-10-16,1000.00,,"House, NJ, 4 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73389,,,CCM,Friends of Dave Joyce,,,,,,5827 Colfax Ave,814 Consulting,Alexandria,VA,22311,P2024,,2023-10-04,2500.00,,"House, OH, 14 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73372,,,CCM,Friends of Emily Scott,,,,,,917 Shenandoah Shores Rd,,Front Royal,VA,22630,G2024,,2023-10-04,1500.00,,"VA Senate, VA, 1 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73387,,,CCM,Friends of Lucy McBath,,,,,,415 New Jersey Avenue SE # 1,,Washington,DC,20003,G2024,,2023-10-04,1000.00,,"House, GA, 7 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73505,,,CCM,Friends of Rosa DeLauro,,,,,,6129 Long Meadow Road,,McLean,VA,22101,P2024,,2023-10-30,4000.00,,"House, CT, 3 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73506,,,CCM,Friends of Rosa DeLauro,,,,,,6129 Long Meadow Road,,McLean,VA,22101,G2024,,2023-10-30,1000.00,,"House, CT, 3 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73361,,,CCM,Friends of Sherrod Brown,,,,,,"3867 West Market Street, Ste. 289",,Akron,OH,44333,G2024,,2023-10-04,2500.00,,"Senate, OH",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73488,,,CCM,Guy for Congress,,,,,,5827 Colfax Avenue,,Alexandria,VA,22311,P2024,,2023-10-23,1000.00,,"House, PA, 14 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73364,,,CCM,Huffman for Congress,,,,,,"228 2nd Street, SE",,Washington,DC,20003,G2024,,2023-10-04,1000.00,,"House, CA, 2 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73518,,,CCM,Jamie Raskin for Congress,,,,,,PO Box 5418,,Takoma Park,MD,20913,P2024,,2023-10-04,2500.00,,"House, MD, 8 dst",011,,Jamie Raskin for Congress,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73391,,,CCM,Jasmine for US,,,,,,"122 C ST. NW, Suite 360",,Washington,DC,20001,P2024,,2023-10-04,1000.00,,"House, TX, 30 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73368,,,PAC,Keystone America PAC,,,,,,"750 First Street NE, Suite 1070",,Washington,DC,20002,,,2023-10-04,5000.00,,Sen Casey Leadership PAC,,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73381,,,CCM,Klobuchar for Minnesota,,,,,,P.O. Box 4146,,St. Paul,MN,55104,G2024,,2023-10-04,1500.00,,"Senate, MN",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73468,,,CCM,McCollum for Congress,,,,,,P.O. Box 14131,,St. Paul,MN,55114,G2024,,2023-10-19,1000.00,,"House, MN, 4 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73395,,,CCM,Mike O'Brien for PA,,,,,,P.O. Box 60707,,Harrisburg,PA,17106,P2024,,2023-10-04,5000.00,,"House, PA, 10 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73385,,,CCM,Norma Torres for Congress,,,,,,"6 E Street, SE",,Washington,DC,20003,G2024,,2023-10-04,1000.00,,"House, CA, 35 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73377,,,PTY,Ohio Republican Party,,,,,,211 South Fifth Street,,Columbus,OH,43215,,,2023-10-04,2500.00,,Ohio Republican Party,,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73467,,,CCM,People for Ben,,,,,,P.O. Box 15096,c/o The Strathdee Group,Washington,DC,20003,G2026,,2023-10-19,1000.00,,"Senate, NM",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73466,,,CCM,Riebe for Congress,,,,,,P.O. Box 521 689,,Salt Lake City,UT,84152,O2023,S,2023-10-19,200.00,,"House, UT, 2 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73363,,,CCM,Rosen for Nevada,,,,,,P.O. Box 15854,,Washington,DC,20003,G2024,,2023-10-04,2000.00,,"Senate, NV",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73379,,,CCM,Scholten for Congress,,,,,,415 New Jersey Avenue SE # 1,,Washington,DC,20003,P2024,,2023-10-04,1500.00,,"House, MI, 3 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73373,,,CCM,Strickland for Washington,,,,,,401 2nd Avenue S. Suite 303,,Seattle,WA,98104,P2024,,2023-10-04,1000.00,,"House, WA, 10 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73489,,,CCM,Suozzi for Congress,,,,,,P.O. Box 669,,Glen Cove,NY,11542,G2024,,2023-10-23,5000.00,,"House, NY, 3 dst",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73383,,,CCM,Tina Smith for Minnesota,,,,,,P.O. Box 14362,,St. Paul,MN,55114,P2026,,2023-10-04,2500.00,,"Senate, MN",,,,,,,,,,,,,,,,,,,,
SB23,C00001636,SB23.73370,,,CCM,Wiley Nickel for Congress,,,,,,"412 First Street, SE Ste 100",,Washington,DC,20003,P2024,,2023-10-04,1000.00,,"House, NC, 13 dst",,,,,,,,,,,,,,,,,,,,
