form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00424382,SB23.41180,,,CAN,,ALFORD,MARK,,,,PO BOX 1634,,RAYMORE,MO,64083,P2026,,2024-11-19,2000.00,,Political Contribution,011,C00792598,"MARK ALFORD FOR CONGRESS, INC.",,,,,,,H,MO,04,,,,,,,,
SB23,C00424382,SB23.41176,,,CAN,,BALDWIN,TAMMY,,,,PO BOX 696,,MADISON,WI,53701,P2030,,2024-11-19,1000.00,,Political Contribution,011,C00326801,TAMMY BALDWIN FOR SENATE,,,,,,,S,WI,00,,,,,,,,
SB23,C00424382,SB23.41173,,,CAN,,CASAR,GREG,,,,PO BOX 301923,,AUSTIN,TX,78703,G2024,,2024-10-17,3000.00,,Political Contribution,011,C00791897,GREG CASAR FOR CONGRESS,,,,,,,H,TX,35,,,,,,,,
SB23,C00424382,SB23.41172,,,CAN,,DOGGETT,LLOYD,,,,1157 SAN BERNARD,,AUSTIN,TX,78702,G2024,,2024-10-17,3000.00,,Political Contribution,,C00286500,DOGGETT FOR CONGRESS,,,,,,,H,TX,37,,,,,,,,
SB23,C00424382,SB23.41177,,,CAN,,DUCKWORTH,L TAMMY,,,,PO BOX 10793,,CHICAGO,IL,60610,P2028,,2024-11-19,1000.00,,Political Contribution,011,C00574889,TAMMY FOR ILLINOIS,,,,,,,S,IL,00,,,,,,,,
SB23,C00424382,SB23.41175,,,CAN,,DURBIN,RICHARD J,,,,1525 S BATES,,SPRINGFIELD,IL,62704,P2026,,2024-11-19,2000.00,,Political Contribution,011,C00148999,FRIENDS OF DICK DURBIN COMMITTEE,,,,,,,S,IL,00,,,,,,,,
SB23,C00424382,SB23.41179,,,CAN,,HEINRICH,MARTIN,,,,PO BOX 25763,,ALBUQUERQUE,NM,87125,P2030,,2024-11-25,2000.00,,Political Contribution,011,C00434563,MARTIN HEINRICH FOR SENATE,,,,,,,S,NM,00,,,,,,,,
SB23,C00424382,SB23.41181,,,CAN,,JOHNSON,JAMES MICHAEL,,,,5029 WILLOW CHASE DRIVE,,BENTON,LA,71006,P2026,,2024-11-19,5000.00,,Pollitical Contribution,011,C00608695,MIKE JOHNSON FOR LOUISIANA,,,,,,,H,LA,04,,,,,,,,
SB23,C00424382,SB23.41174,,,CAN,,PALLONE,FRANK JR,,,,PO BOX 3176,,LONG BRANCH,NJ,07740,G2024,,2024-10-28,2000.00,,Political Contribution,011,C00226928,PALLONE FOR CONGRESS,,,,,,,H,NJ,06,,,,,,,,
SB23,C00424382,SB23.41178,,,CAN,,THUNE,JOHN,,,,1601 E 69TH ST STE 107,,SIOUX FALLS,SD,57108,G2028,,2024-11-19,5000.00,,Political Contribution,011,C00409581,FRIENDS OF JOHN THUNE,,,,,,,S,SD,00,,,,,,,,
