form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00821728,BE67,,,ORG,INLAND EMPIRE UNITED,,,,,,"515 S. FIGUEROA ST., STE. 1110",,LOS ANGELES,CA,90071,G2024,,2024-09-16,363.29,2024-10-16,270017.47,PHONE CALLS & CANVASSING (ACTUAL COST OF ESTIMATED IE REPORTED ON 48-HR RPT FILED 9/20/24),24E,,S,,ROLLINS,WILL,,,,H,41,CA,DAVIDSON,CARY,,,,2024-10-23,
SE,C00821728,BE70,,,ORG,INLAND EMPIRE UNITED,,,,,,"515 S. FIGUEROA ST., STE. 1110",,LOS ANGELES,CA,90071,G2024,,2024-09-18,406.02,2024-10-16,270017.47,PHONE CALLS & CANVASSING (ACTUAL COST OF ESTIMATED IE REPORTED ON 48-HR RPT FILED 9/20/24),24E,,S,,ROLLINS,WILL,,,,H,41,CA,DAVIDSON,CARY,,,,2024-10-23,
SE,C00821728,BE73,,,ORG,INLAND EMPIRE UNITED,,,,,,"515 S. FIGUEROA ST., STE. 1110",,LOS ANGELES,CA,90071,G2024,,2024-09-19,469.97,2024-10-16,270017.47,PHONE CALLS & CANVASSING,24E,,S,,ROLLINS,WILL,,,,H,41,CA,DAVIDSON,CARY,,,,2024-10-23,
SE,C00821728,BE75,,,ORG,INLAND EMPIRE UNITED,,,,,,"515 S. FIGUEROA ST., STE. 1110",,LOS ANGELES,CA,90071,G2024,,2024-09-20,469.97,2024-10-16,270017.47,CANVASSING,24E,,S,,ROLLINS,WILL,,,,H,41,CA,DAVIDSON,CARY,,,,2024-10-23,
SE,C00821728,BE77,,,ORG,INLAND EMPIRE UNITED,,,,,,"515 S. FIGUEROA ST., STE. 1110",,LOS ANGELES,CA,90071,G2024,,2024-09-21,469.97,2024-10-16,270017.47,CANVASSING,24E,,S,,ROLLINS,WILL,,,,H,41,CA,DAVIDSON,CARY,,,,2024-10-23,
SE,C00821728,BE79,,,ORG,INLAND EMPIRE UNITED,,,,,,"515 S. FIGUEROA ST., STE. 1110",,LOS ANGELES,CA,90071,G2024,,2024-09-22,469.97,2024-10-16,270017.47,CANVASSING,24E,,S,,ROLLINS,WILL,,,,H,41,CA,DAVIDSON,CARY,,,,2024-10-23,
SE,C00821728,BE83,,,ORG,INLAND EMPIRE UNITED,,,,,,"515 S. FIGUEROA ST., STE. 1110",,LOS ANGELES,CA,90071,G2024,,2024-09-25,619.65,2024-10-16,270017.47,PHONE CALLS & CANVASSING (ACTUAL COST OF ESTIMATED IE REPORTED ON 48-HR RPT FILED 9/28/24),24E,,S,,ROLLINS,WILL,,,,H,41,CA,DAVIDSON,CARY,,,,2024-10-23,
SE,C00821728,BE85,,,ORG,INLAND EMPIRE UNITED,,,,,,"515 S. FIGUEROA ST., STE. 1110",,LOS ANGELES,CA,90071,G2024,,2024-09-26,2775.00,2024-10-07,270017.47,PHONE CALLS & CANVASSING,24E,,S,,ROLLINS,WILL,,,,H,41,CA,DAVIDSON,CARY,,,,2024-10-23,
SE,C00821728,BE86,,,ORG,INLAND EMPIRE UNITED,,,,,,"515 S. FIGUEROA ST., STE. 1110",,LOS ANGELES,CA,90071,G2024,,2024-09-26,619.65,2024-10-16,270017.47,PHONE CALLS & CANVASSING (ACTUAL COST OF ESTIMATED IE REPORTED ON 48-HR RPT FILED 9/28/24),24E,,S,,ROLLINS,WILL,,,,H,41,CA,DAVIDSON,CARY,,,,2024-10-23,
SE,C00821728,BE92,,,ORG,INLAND EMPIRE UNITED,,,,,,"515 S. FIGUEROA ST., STE. 1110",,LOS ANGELES,CA,90071,G2024,,2024-09-27,1750.00,2024-10-07,270017.47,CANVASSING,24E,,S,,ROLLINS,WILL,,,,H,41,CA,DAVIDSON,CARY,,,,2024-10-23,
