form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00252940,500462801,,,ORG,Bill.Com,,,,,,1810 Embarcadero Rd,,Palo Alto,CA,943033308,,,2024-10-11,240.13,0.00,Payment processing subscription fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00252940,500462824,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,G2024,,2024-10-01,-50.00,0.00,Fundraising Services (via drawdown),,,,,,,,,,,,,,,,,,,,
SB21B,C00252940,500462825,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,G2024,,2024-10-01,-50.00,0.00,Fundraising Services (via drawdown),,,,,,,,,,,,,,,,,,,,
SB21B,C00252940,500462826,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,G2024,,2024-10-01,-50.00,0.00,Fundraising Services (via drawdown),,,,,,,,,,,,,,,,,,,,
SB21B,C00252940,500462827,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,G2024,,2024-10-01,-50.00,0.00,Fundraising Services (via drawdown),,,,,,,,,,,,,,,,,,,,
SB21B,C00252940,500462828,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,G2024,,2024-10-02,-50.00,0.00,Fundraising Services (via drawdown),,,,,,,,,,,,,,,,,,,,
SB21B,C00252940,500462829,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,G2024,,2024-10-03,-381.67,0.00,Phone Banking Expenses (via drawdown),,,,,,,,,,,,,,,,,,,,
SB21B,C00252940,500462830,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,G2024,,2024-10-04,-50.00,0.00,Endorsement Related Expenses (via drawdown),,,,,,,,,,,,,,,,,,,,
SB21B,C00252940,500462831,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,G2024,,2024-10-04,-50.00,0.00,Endorsement Related Expenses (via drawdown),,,,,,,,,,,,,,,,,,,,
SB21B,C00252940,500462832,,,ORG,"League Of Conservation Voters, Inc.",,,,,,740 15Th St NW,Fl 7,Washington,DC,200051048,G2024,,2024-10-04,-50.00,0.00,Endorsement Related Expenses (via drawdown),,,,,,,,,,,,,,,,,,,,
