form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00845305,SB21B.963048,,,ORG,CAMPAIGN DATA GROUP,,,,,,1281 TALLADEGA HWY,SYLACAUGA,SYLACAUGA,AL,35150,,,2023-09-25,44.07,,FUNDRAISING FEES
SB21B,C00845305,SB21B.966402,,,ORG,CONSERVATIVE CONNECTOR,,,,,,1100 13TH ST NW,SUITE 800,WASHINGTON,DC,20005,,,2023-10-11,22.50,,FUNDRAISING FEES
SB21B,C00845305,SB21B.966558,,,ORG,CONSERVATIVE CONNECTOR,,,,,,1100 13TH ST NW,SUITE 800,WASHINGTON,DC,20005,,,2023-10-12,9.00,,FUNDRAISING FEES
SB21B,C00845305,SB21B.967051,,,ORG,CONSERVATIVE CONNECTOR,,,,,,1100 13TH ST NW,SUITE 800,WASHINGTON,DC,20005,,,2023-10-17,45.00,,FUNDRAISING FEES
SB21B,C00845305,SB21B.967397,,,ORG,CONSERVATIVE CONNECTOR,,,,,,1100 13TH ST NW,SUITE 800,WASHINGTON,DC,20005,,,2023-10-19,22.50,,FUNDRAISING FEES
SB21B,C00845305,SB21B.966324,,,ORG,ELECTIONS LLC,,,,,,1050 CONNECTICUT AVE NW,SUITE 500,WASHINGTON,DC,20036,,,2023-11-27,3000.00,,LEGAL CONSULTING
SB21B,C00845305,SB21B.960370,,,ORG,"RED CURVE SOLUTIONS, LLC",,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2023-11-27,141.26,,DATA PROCESSING SERVICES
SB21B,C00845305,SB21B.963045,,,ORG,RED SPARK STRATEGY,,,,,,4701 COX RD,STE 285,GLEN ALLEN,VA,23060,,,2023-09-22,3.85,,FUNDRAISING FEES
SB21B,C00845305,SB21B.972515,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-01,2.05,,MERCHANT FEES
SB21B,C00845305,SB21B.972708,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-04,0.70,,MERCHANT FEES
SB21B,C00845305,SB21B.972984,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-05,4.82,,MERCHANT FEES
SB21B,C00845305,SB21B.973474,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-07,0.52,,MERCHANT FEES
SB21B,C00845305,SB21B.973845,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-11,0.95,,MERCHANT FEES
SB21B,C00845305,SB21B.974196,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-13,1.57,,MERCHANT FEES
SB21B,C00845305,SB21B.974391,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-14,0.43,,MERCHANT FEES
SB21B,C00845305,SB21B.974561,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-15,3.50,,MERCHANT FEES
SB21B,C00845305,SB21B.974742,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-18,1.68,,MERCHANT FEES
SB21B,C00845305,SB21B.974993,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-19,0.99,,MERCHANT FEES
SB21B,C00845305,SB21B.975115,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2023-12-20,0.32,,MERCHANT FEES
