form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00831545,500358230,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2023-12-11,39.50,0.00,Credit card processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360273,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2023-12-05,55.52,0.00,Office supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360274,,,ORG,Amazon,,,,,,410 Terry Ave N,,Seattle,WA,981095210,,,2023-12-05,299.57,0.00,Office supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360270,,,ORG,American Airlines,,,,,,PO Box 619616,,Dallas,TX,752619616,,,2023-12-01,1008.90,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360280,,,ORG,American Airlines,,,,,,PO Box 619616,,Dallas,TX,752619616,,,2023-12-07,748.90,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360282,,,ORG,American Airlines,,,,,,PO Box 619616,,Dallas,TX,752619616,,,2023-12-07,748.90,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360284,,,ORG,American Airlines,,,,,,PO Box 619616,,Dallas,TX,752619616,,,2023-12-11,433.90,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360302,,,ORG,Bullfeathers,,,,,,410 1St St SE,,Washington,DC,200031819,,,2023-12-14,120.60,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360267,,,ORG,Elisa Rios,,,,,,5005 Lichfield Dr,,Hoffman Estates,IL,600105617,,,2023-12-19,1257.89,0.00,Reimbursement(vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360268,500360267,SB21B,ORG,Costco Alexandria,,,,,,7940 Richmond Hwy,,Alexandria,VA,223067826,,,2023-12-19,1196.36,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00831545,500360269,500360267,SB21B,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-12-19,61.53,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00831545,500360287,,,ORG,Milos Restaurant,,,,,,3355 Las Vegas Blvd S,,Las Vegas,NV,891098941,,,2023-12-11,251.58,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360314,,,ORG,Suite 100 Restaurant,,,,,,1000 E Dimond Blvd,,Anchorage,AK,995152029,,,2023-12-22,308.30,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360298,,,ORG,Taco Bamba,,,,,,4000 Wilson Blvd,Ste C,Arlington,VA,222034401,,,2023-12-13,1598.05,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360275,,,ORG,Treasure Island,,,,,,3300 Las Vegas Blvd S,,Las Vegas,NV,891098916,,,2023-12-07,172.86,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360276,,,ORG,Treasure Island,,,,,,3300 Las Vegas Blvd S,,Las Vegas,NV,891098916,,,2023-12-07,164.92,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360295,,,ORG,Treasure Island,,,,,,3300 Las Vegas Blvd S,,Las Vegas,NV,891098916,,,2023-12-12,1009.00,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360296,,,ORG,Treasure Island,,,,,,3300 Las Vegas Blvd S,,Las Vegas,NV,891098916,,,2023-12-12,1107.35,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360299,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-12-13,33.92,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360300,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-12-13,35.95,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360304,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-12-14,468.05,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360305,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-12-15,8.78,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360306,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-12-15,34.78,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360307,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-12-15,11.55,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360308,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-12-15,30.65,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360309,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-12-18,4.59,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360310,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-12-18,18.92,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360311,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-12-18,3.00,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360312,,,ORG,Uber,,,,,,1455 Market St,Ste 400,San Francisco,CA,941031355,,,2023-12-18,50.15,0.00,Ground transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360271,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-12-04,59.00,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360272,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-12-04,786.77,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360277,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-12-07,37.00,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360278,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-12-07,1142.85,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360279,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-12-07,1176.13,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360281,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-12-07,765.65,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360301,,,ORG,United Airlines,,,,,,233 S Wacker Dr,,Chicago,IL,606067147,,,2023-12-14,9.00,0.00,Airfare,,,,,,,,,,,,,,,,,,,,
SB21B,C00831545,500360315,,,ORG,Whisky & Ramen,,,,,,436 W 4Th Ave,,Anchorage,AK,995012303,,,2023-12-26,879.38,0.00,PAC Catering/meals,,,,,,,,,,,,,,,,,,,,
