form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00831123,SB21B.56023,,,ORG,AX CAPITAL,,,,,,555 METRO PLACE N,STE 525,DUBLIN,OH,43017,,,2024-06-26,600.00,,ACCOUNTING & COMPLIANCE,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.56025,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2024-04-10,14688.58,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.56024,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2024-04-30,11500.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.56028,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2024-04-30,16822.96,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.56029,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2024-04-30,12000.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.56030,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2024-06-24,1000.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.56031,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2024-06-24,15000.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.56032,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2024-06-24,18931.91,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.56026,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2024-06-28,15000.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.56027,,,ORG,TAG LLC,,,,,,P.O. BOX 1243,,ALEXANDRIA,VA,22313,,,2024-06-28,1000.00,,DIGITAL FUNDRAISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00831123,SB21B.56036,,,ORG,WINRED,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-06-30,7495.33,,CREDIT CARD PROCESSING,,,,,,,,,,,,,,,,,,,,
