form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00758938,SB21B-1013465,,,ORG,AUTHORIZE.NET,,,,,,PO BOX 947,,AMERICAN FORK,UT,840030947,,,2024-11-04,92.50,213.42,CREDIT CARD PROCESSING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013467,,,ORG,DEADWOOD INTERACTIVE SOLUTIONS,,,,,,30 NORTH GOULD ST,,SHERIDAN,WY,82801,,,2024-10-24,5630.45,140938.94,WEBSITE MARKETING,004,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013469,,,ORG,DEADWOOD INTERACTIVE SOLUTIONS,,,,,,30 NORTH GOULD ST,,SHERIDAN,WY,82801,,,2024-11-04,5038.50,140938.94,WEBSITE MARKETING,004,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013471,,,ORG,DEADWOOD INTERACTIVE SOLUTIONS,,,,,,30 NORTH GOULD ST,,SHERIDAN,WY,82801,,,2024-11-04,5042.18,140938.94,WEBSITE MARKETING,004,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013473,,,ORG,DEADWOOD INTERACTIVE SOLUTIONS,,,,,,30 NORTH GOULD ST,,SHERIDAN,WY,82801,,,2024-11-19,6035.50,140938.94,WEBSITE MARKETING,004,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013475,,,ORG,ELECTRONIC MERCHANT SYSTEMS,,,,,,250 W. HURON RD.,SUITE 400,CLEVELAND,OH,44113,,,2024-11-01,385.34,975.47,MERCHANT PROCESSOR FEE,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013477,,,ORG,ELECTRONIC MERCHANT SYSTEMS,,,,,,250 W. HURON RD.,SUITE 400,CLEVELAND,OH,44113,,,2024-11-08,30.03,975.47,MERCHANT PROCESSOR FEE,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1014257,,,ORG,LAV SERVICES LLC,,,,,,1009 WHITNEY RANCH DR,,HENDERSON,NV,89014,,,2024-11-08,333.00,209943.17,PHONEBANK PAYROLL SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013479,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-10-21,72.75,14112.88,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013481,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-10-22,1786.95,14112.88,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013483,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-10-25,62.02,14112.88,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013485,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-10-29,8966.29,14112.88,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013487,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-01,45.20,14112.88,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013489,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-12,44.62,14112.88,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013491,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-15,42.39,14112.88,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013493,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-21,3049.20,14112.88,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1013495,,,ORG,NORTH AMERICAN FULFILLMENT,,,,,,3245 N. 126TH STREET,,BROOKFIELD,WI,53005,,,2024-11-22,43.46,14112.88,MAILERS AND CAGING,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1014259,,,ORG,STANDARD DATA SERVICES LLC,,,,,,513 MILL AVE SE,SUITE 206,NEW PHILADELPHIA,OH,44663,,,2024-11-08,333.00,155233.35,CAGING AND DATABASE SERVICES,003,,,,,,,,,,,,,,,,,00000,,
SB21B,C00758938,SB21B-1014261,,,ORG,WIRED4DATA,,,,,,55 LAKE HAVASU AVE SOUTH F-677,,LAKE HAVASU,AZ,86403,,,2024-11-08,333.00,404230.56,PHONEBANK IT/TECH SUPPORT,003,,,,,,,,,,,,,,,,,00000,,
