form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00814509,SB21B.4436,,,ORG,CONSTANT CONTACT,,,,,,1601 TRAPELO RD.,,WALTHAM,MA,02451,,,2023-10-30,818.39,,SUBSCRIPTIONS: EMAIL MARKETING,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4437,,,ORG,DICKINSON WRIGHT PLLC,,,,,,2600 W. BIG BEAVER,STE 300,TROY,MI,48084,,,2023-08-25,98.00,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4440,,,ORG,EVITE INC,,,,,,600 WILSHIRE BOULEVARD SUITE 400,,LOS ANGELES,CA,90017,,,2023-12-08,249.99,,SOFTWARE SUBSCRIPTION,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4441,,,ORG,FACEBOOK,,,,,,1 HACKER WAY,,MENLO PARK,CA,94025,,,2023-08-31,310.69,,ONLINE ADVERTISING,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4443,,,ORG,S180 MEDIA,,,,,,9039 BROADMOOR BEND,,SAN ANTONIO,TX,78251,,,2023-09-23,750.00,,DIGITAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4446,,,ORG,VISTA BANK,,,,,,6801 PRESTON ROAD,,DALLAS,TX,75205,,,2023-08-03,20.01,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4447,,,ORG,VISTA BANK,,,,,,6801 PRESTON ROAD,,DALLAS,TX,75205,,,2023-09-11,20.70,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4448,,,ORG,VISTA BANK,,,,,,6801 PRESTON ROAD,,DALLAS,TX,75205,,,2023-10-10,21.27,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4449,,,ORG,VISTA BANK,,,,,,6801 PRESTON ROAD,,DALLAS,TX,75205,,,2023-11-09,19.75,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4450,,,ORG,VISTA BANK,,,,,,6801 PRESTON ROAD,,DALLAS,TX,75205,,,2023-12-11,19.72,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4452,,,ORG,WINRED TECHNICAL SERVICES,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2023-09-05,84.19,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4453,,,ORG,WINRED TECHNICAL SERVICES,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2023-09-08,19.70,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4454,,,ORG,WINRED TECHNICAL SERVICES,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2023-09-20,23.64,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4455,,,ORG,WINRED TECHNICAL SERVICES,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2023-10-02,99.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4456,,,ORG,WINRED TECHNICAL SERVICES,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2023-11-01,99.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00814509,SB21B.4484,,,ORG,WINRED TECHNICAL SERVICES,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2023-12-01,99.00,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
