form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00817072,SB21B.I2418,,,ORG,CANTERBURY GOLF CLUB,,,,,,22000 SOUTH WOODLAND ROAD,,BEACHWOOD,OH,44122,,,2023-04-06,2348.61,,CATERING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817072,SB21B.I2419,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2023-04-06,2.50,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817072,SB21B.I2425,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD., STE. 400",,TYSONS CORNER,VA,22182,,,2023-04-06,3166.00,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817072,SB21B.I2431,,,ORG,CROWNED EAGLE CONSULTING GROUP LLC,,,,,,"1305 W 11TH ST., #213",,HOUSTON,TX,77008,,,2023-04-06,729.80,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817072,SB21B.I2416,,,ORG,ANEDOT,,,,,,1920 MCKINLEY AVE. 7TH FL.,,DALLAS,TX,75201,,,2023-04-10,175.00,,ONLINE PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817072,SB21B.I2426,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD., STE. 400",,TYSONS CORNER,VA,22182,,,2023-04-12,250.00,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817072,SB21B.I2417,,,ORG,ANEDOT,,,,,,1920 MCKINLEY AVE. 7TH FL.,,DALLAS,TX,75201,,,2023-04-28,115.75,,ONLINE PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817072,SB21B.I2420,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2023-04-28,2.50,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817072,SB21B.I2432,,,ORG,CROWNED EAGLE CONSULTING GROUP LLC,,,,,,"1305 W 11TH ST., #213",,HOUSTON,TX,77008,,,2023-04-28,18473.95,,TRAVEL/CATERING/PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817072,SB21B.I2436,,,ORG,HUCKABY DAVIS LISKER INC.,,,,,,"228 S. WASHINGTON ST., STE. 115",,ALEXANDRIA,VA,22314,,,2023-04-28,3592.38,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817072,SB21B.I2427,,,ORG,CMDI,,,,,,"1593 SPRING HILL RD., STE. 400",,TYSONS CORNER,VA,22182,,,2023-05-05,3809.65,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817072,SB21B.I2421,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2023-05-11,2.50,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00817072,SB21B.I2433,,,ORG,CROWNED EAGLE CONSULTING GROUP LLC,,,,,,"1305 W 11TH ST., #213",,HOUSTON,TX,77008,,,2023-05-11,27290.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
