form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00039206,1686762746410,,,CCM,Bill Foster for Congress,,,,,,P.O. Box 9104,,Aurora,IL,60598,P2024,,2023-06-14,500.00,,PAC Political Contribution,011,C00435099,,H8IL14067,Foster,William (Bill),,,,H,IL,11
SB23,C00039206,1678819117628,,,CCM,Brian Higgins for Congress,,,,,,P.O. Box 28/,,Buffalo,NY,14220,P2024,,2023-03-14,500.00,,PAC Political Contribution,011,C00401034,,,Higgins,Brian,,,,H,NY,26
SB23,C00039206,1688171026392,,,CCM,Diana for Congress,,,,,,P.O. Box 7208,,Kingsport,TN,37664,P2024,,2023-06-30,1000.00,,PAC Political Contribution,011,C00741090,,,Harshbarger,Diana,,,,H,TN,01
SB23,C00039206,1680298261998,,,CCM,Friends of Mazie Hirono,,,,,,P.O. Box 677,,Honolulu,HI,96809,O2024,,2023-03-31,1000.00,,PAC Political Contribution,011,C00420760,,S2HI00106,Hirono,Mazie,,,,S,HI,00
SB23,C00039206,1683820739736,,,CCM,Friends of Sherrod Brown,,,,,,PO Box 76187,Suite 800,Washington,DC,20013,P2024,,2023-05-11,1000.00,,PAC Political Contribution,011,C00264697,,S6OH00163,Brown,Sherrod,,,,S,OH,00
SB23,C00039206,1678810710853,,,CCM,Gary Palmer for Congress,,,,,,1919 Oxmoor Road,#235,Homewood,AL,35209,P2024,,2023-03-14,1000.00,,PAC Political Contribution,011,C00551374,,H4AL06098,Palmer,Gary,,,,H,AL,06
SB23,C00039206,1684280945740,,,PAC,Jacky Rosen Victory Fund,,,,,,"611 Pennsylvania Ave, SE",Number 143,Washington,DC,20003,,,2023-05-16,500.00,,PAC Political Contribution,011
SB23,C00039206,1686761511132,,,CCM,Jeffries for Congress,,,,,,P.O. 65322,,Washington,DC,20035,P2024,,2023-06-14,500.00,,PAC Political Contribution,011,C00503052,,,Jeffries,Hakeem,,,,H,NY,08
SB23,C00039206,1678716521627,,,CCM,Katherine Clark for Congress,,,,,,PO Box 361,,Malden,MA,02148,P2024,,2023-02-15,1000.00,,PAC Political Contribution,011,C00541888,,,Clark,Katherine,,,,H,MA,05
SB23,C00039206,1687385405267,,,COM,McCarthy Victory Fund,,,,,,PO Box 30844,,Bethesda,MD,20824,,,2023-06-21,500.00,,PAC Political Contribution,011,C00541011
SB23,C00039206,1686768348147,,,PAC,Mike Rogers Victory,,,,,,30 E Division,,Chicago,IL,60610,,,2023-06-14,1000.00,,PAC Political Contribution,011,C00610055
SB23,C00039206,1682088406488,,,PAC,Mr. Southern Missourian in the House PAC,,,,,,P.O. Box 30844,,Bethesda,MD,20824,,,2023-04-19,500.00,,PAC Political Contribution,011,C00563726,,,,,,,,,MO
SB23,C00039206,1675787692768,,,CCM,Team Hagerty,,,,,,4515 Harding Pike,Suite 1100,Nashville TN,TN,37205,P2026,,2023-02-01,1000.00,,PAC Political Contribution,011,C00718627,,,Hagerty,Bill,,,,S,TN,00
SB23,C00039206,1684344198894,,,CCM,Virgin Islands for Plaskett,,,,,,"413 New Jersey Avenue, SE",,Washington,DC,20003,O2024,,2023-05-17,500.00,,PAC Political Contribution,011,C00528182,,,Plaskett,Stacey,,,,H,VI,00
SB23,C00039206,1688170935138,,,CCM,Wicker for Senate,,,,,,P.O. Box 64,,Jackson,MS,39205,O2024,,2023-06-30,500.00,,PAC Political Contribution,012,C00443218,,,Wicker,Roger,F,,,S,MS,00
