form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00805283,SB21B.9224,,,ORG,BKD CPAs and Advisors,,,,,,1901 S. Meyers Road,Suite 500,Oakbrook Terrace,IL,60181,,,2023-03-14,965.00,,Accounting services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6819,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-02-17,50.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6818,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-02-27,25.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6817,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-03-06,50.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6816,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-03-09,25.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6815,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-03-15,25.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6814,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-03-21,25.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6813,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-03-22,25.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6812,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-03-23,25.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6811,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-03-24,25.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6810,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-03-27,25.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6809,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-03-28,25.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6808,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-03-31,25.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6807,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-04-05,25.00,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6806,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-04-13,2.50,,Bank fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6805,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-06-08,25.00,,Bank fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6804,,,ORG,"Chain Bridge Bank, N.A.",,,,,,1445-A Laughlin Avenue,,McLean,VA,22101,,,2023-06-28,25.00,,Bank fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6836,,,ORG,Imge LLC,,,,,,108 South Washington Street,,Alexandria,VA,22314,,,2023-01-20,6370.21,,List acquisition and fundraising,003,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.9247,,,ORG,Imge LLC,,,,,,108 South Washington Street,,Alexandria,VA,22314,,,2023-01-25,27173.92,,List acquisition and fundraising,003,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6834,,,ORG,Imge LLC,,,,,,108 South Washington Street,,Alexandria,VA,22314,,,2023-02-17,6295.07,,List acquisition and fundraising,003,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6833,,,ORG,Imge LLC,,,,,,108 South Washington Street,,Alexandria,VA,22314,,,2023-03-03,50000.00,,List acquisition and fundraising,003,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6832,,,ORG,Imge LLC,,,,,,108 South Washington Street,,Alexandria,VA,22314,,,2023-03-20,6690.78,,List acquisition and fundraising,003,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6831,,,ORG,Imge LLC,,,,,,108 South Washington Street,,Alexandria,VA,22314,,,2023-04-05,19130.43,,List acquisition and fundraising,003,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6830,,,ORG,Imge LLC,,,,,,108 South Washington Street,,Alexandria,VA,22314,,,2023-05-01,8042.43,,List acquisition and fundraising,003,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6829,,,ORG,Imge LLC,,,,,,108 South Washington Street,,Alexandria,VA,22314,,,2023-05-22,6950.49,,List acquisition and fundraising,003,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6828,,,ORG,Imge LLC,,,,,,108 South Washington Street,,Alexandria,VA,22314,,,2023-06-08,30000.00,,List acquisition and fundraising,003,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6826,,,ORG,Imge LLC,,,,,,108 South Washington Street,,Alexandria,VA,22314,,,2023-06-28,13592.67,,List acquisition and fundraising,003,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6857,,,ORG,Langdon Law LLC,,,,,,8913 Cincinnati-Dayton Rd.,,West Chester,OH,45069,,,2023-02-07,4777.50,,Legal fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6856,,,ORG,Langdon Law LLC,,,,,,8913 Cincinnati-Dayton Rd.,,West Chester,OH,45069,,,2023-02-21,9957.50,,Legal fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6839,,,ORG,Langdon Law LLC,,,,,,8913 Cincinnati-Dayton Rd.,,West Chester,OH,45069,,,2023-03-17,7673.75,,Legal fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.9248,,,ORG,Langdon Law LLC,,,,,,8913 Cincinnati-Dayton Rd.,,West Chester,OH,45069,,,2023-04-13,10398.75,,Legal fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.6837,,,ORG,Langdon Law LLC,,,,,,8913 Cincinnati-Dayton Rd.,,West Chester,OH,45069,,,2023-06-09,962.50,,Legal fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.9287,,,ORG,Restoration of America,,,,,,1901 Butterfield Road,Suite 920,Downers Grove,IL,60515,,,2023-01-31,43963.00,,In-kind - Staff Salary/Taxes/Benefits/Occupancy/Insurance for 2022,,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.9208,,,ORG,Restoration of America,,,,,,1901 Butterfield Road,Suite 920,Downers Grove,IL,60515,,,2023-02-28,270.52,,Software subscriptions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.9209,,,ORG,Restoration of America,,,,,,1901 Butterfield Road,Suite 920,Downers Grove,IL,60515,,,2023-03-31,197.96,,Software subscriptions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.9210,,,ORG,Restoration of America,,,,,,1901 Butterfield Road,Suite 920,Downers Grove,IL,60515,,,2023-04-28,187.97,,Software subscriptions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.9211,,,ORG,Restoration of America,,,,,,1901 Butterfield Road,Suite 920,Downers Grove,IL,60515,,,2023-05-31,245.11,,Software subscriptions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.9212,,,ORG,Restoration of America,,,,,,1901 Butterfield Road,Suite 920,Downers Grove,IL,60515,,,2023-06-30,197.96,,Software subscriptions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.9289,,,COM,RESTORATION PAC,,,,,,1901 BUTTERFIELD ROAD,STE. 120,DOWNERS GROVE,IL,60515,,,2023-03-17,2160.00,,In-kind - Bookkeeping fees,,C00571588,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.9235,,,ORG,SmartGate Corporation,,,,,,15 East Madison Street,,Lombard,IL,60148,,,2023-06-22,405.00,,Website services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.9219,,,ORG,Tarrance Group,,,,,,201 N. Union Street,Suite 410,Alexandria,VA,22314,,,2023-02-08,45670.00,,Polling consulting,005,,,,,,,,,,,,,,,,,,,
SB21B,C00805283,SB21B.9206,,,ORG,WinRED,,,,,,PO Box 9891,,Arlington,VA,22219,,,2023-06-28,6110.95,,Card processing fees and chargebacks for reporting period,001,,,,,,,,,,,,,,,,,,,
