form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00821959,SB21B.001,,,ORG,ANEDOT,,,,,,"1340 POYDRAS ST, STE 1770",,NEW ORLEANS,LA,70112,,,2023-03-31,200.30,,CREDIT CARD MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00821959,SB21B.002,,,ORG,"INTUIT, INC.",,,,,,2800 E. COMMERCE CENTER PLACE,,TUCSON,AZ,85706,,,2023-01-06,90.61,,SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00821959,SB21B.003,,,ORG,"INTUIT, INC.",,,,,,2800 E. COMMERCE CENTER PLACE,,TUCSON,AZ,85706,,,2023-02-05,90.61,,SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00821959,SB21B.004,,,ORG,"INTUIT, INC.",,,,,,2800 E. COMMERCE CENTER PLACE,,TUCSON,AZ,85706,,,2023-03-05,90.61,,SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00821959,SB21B.005,,,ORG,"INTUIT, INC.",,,,,,2800 E. COMMERCE CENTER PLACE,,TUCSON,AZ,85706,,,2023-04-05,90.61,,SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00821959,SB21B.006,,,ORG,"INTUIT, INC.",,,,,,2800 E. COMMERCE CENTER PLACE,,TUCSON,AZ,85706,,,2023-05-05,90.61,,SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00821959,SB21B.007,,,ORG,"INTUIT, INC.",,,,,,2800 E. COMMERCE CENTER PLACE,,TUCSON,AZ,85706,,,2023-06-05,90.61,,SUBSCRIPTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00821959,SB21B.008,,,ORG,QBALL DESIGN,,,,,,102 TYLER ST.,,ROCKWALL,TX,75087,,,2023-03-09,200.00,,GRAPHICS DESIGN,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00821959,SB21B.009,,,ORG,RIGHTSIDE COMPLIANCE,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-02-15,267.61,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00821959,SB21B.010,,,ORG,RIGHTSIDE COMPLIANCE,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-02-15,240.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00821959,SB21B.011,,,ORG,RIGHTSIDE COMPLIANCE,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-02-15,412.50,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00821959,SB21B.012,,,ORG,RIGHTSIDE COMPLIANCE,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-03-09,120.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00821959,SB21B.013,,,ORG,RIGHTSIDE COMPLIANCE,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2023-06-22,210.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
