form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00365536,500434255,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,,,2024-03-03,1968.94,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,500434475,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,,,2024-03-11,6382.03,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,500435633,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,,,2024-03-18,7200.73,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,500435634,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,,,2024-03-25,5339.15,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,500436620,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,,,2024-03-31,3935.74,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,500436377,,,CCM,ADRIANO ESPAILLAT FOR CONGRESS,,,,,,PO Box H,,New York,NY,100340248,,,2024-03-27,998.60,0.00,Travel Reimbursement for Bold Event,,C00701953,,,ESPAILLAT,ADRIANO,,,,H,NY,13,,,,,,,,
SB21B,C00365536,500434466,,,ORG,ADT Security Services,,,,,,1501 W Yamato Rd,,Boca Raton,FL,334314438,,,2024-03-05,142.20,0.00,Office Security,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,500436374,,,ORG,All Clean Inc,,,,,,12133 Pleasant Walk Rd,Ste B,Myersville,MD,217739429,,,2024-03-26,9750.00,0.00,Building Repairs,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,500435020,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,Frnt 1,Washington,DC,200061245,,,2024-03-11,6843.81,0.00,Mortgage Payment,,,,,,,,,,,,,,,,,,,,
SB21B,C00365536,500436367,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,Frnt 1,Washington,DC,200061245,,,2024-03-27,10.00,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
