form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00804633,SB29.4301,,,ORG,ANEDOT,,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2024-07-31,83.65,,NON-CONTRIBUTION: MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB29,C00804633,SB29.4293,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2024-07-16,3000.00,,NON-CONTRIBUTION: COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00804633,SB29.4302,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2024-08-02,1500.00,,NON-CONTRIBUTION: COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00804633,SB29.4284,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2024-08-29,3000.00,,NON-CONTRIBUTION:  COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00804633,SB29.4265,,,ORG,CERBERUS,,,,,,333 WEST 9TH ST,STE C,LAWRENCE,KS,66044,,,2024-07-02,25058.00,,NON-CONTRIBUTION: STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00804633,SB29.4272,,,ORG,CERBERUS,,,,,,333 WEST 9TH ST,STE C,LAWRENCE,KS,66044,,,2024-07-09,5000.00,,NON-CONTRIBUTION: STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
SB29,C00804633,SB29.4286,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-02,25.00,,NON-CONTRIBUTION: BANK FEE,,,,,,,,,,,,,,,,,,,,
SB29,C00804633,SB29.4288,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-08,25.00,,NON-CONTRIBUTION: BANK FEE,,,,,,,,,,,,,,,,,,,,
SB29,C00804633,SB29.4290,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-09,25.00,,NON-CONTRIBUTION: BANK FEE,,,,,,,,,,,,,,,,,,,,
SB29,C00804633,SB29.4295,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-24,25.00,,NON-CONTRIBUTION: BANK FEE,,,,,,,,,,,,,,,,,,,,
SB29,C00804633,SB29.4297,,,ORG,CHAIN BRIDGE BANK,,,,,,1445-A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-07-26,25.00,,NON-CONTRIBUTION: BANK FEE,,,,,,,,,,,,,,,,,,,,
