form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00787317,500137540,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2023-08-28,39.50,0.00,Credit card processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137550,,,ORG,NGP VAN,,,,,,48 Grove St,Ste 202,Somerville,MA,021442500,,,2023-07-03,106.25,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137541,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2023-07-26,0.50,0.00,Bank fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137551,,,ORG,NGP VAN,,,,,,48 Grove St,Ste 202,Somerville,MA,021442500,,,2023-08-03,106.25,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137542,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2023-08-25,30.00,0.00,Bank fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137552,,,ORG,NGP VAN,,,,,,48 Grove St,Ste 202,Somerville,MA,021442500,,,2023-09-05,106.25,0.00,Software,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137543,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2023-09-27,30.00,0.00,Bank fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137553,,,ORG,Franman Transportation,,,,,,55 Roe Fields Dr,,South Berwick,ME,039082162,,,2023-08-15,140.00,0.00,Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137544,,,ORG,North Side Ventures LLC,,,,,,130 John St,Unit 247,Lowell,MA,018521160,,,2023-09-30,2250.00,0.00,Consulting - Compliance,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137554,,,ORG,Franman Transportation,,,,,,55 Roe Fields Dr,,South Berwick,ME,039082162,,,2023-08-15,130.00,0.00,Transportation,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,4724964I,4724964,SA11C,CCM,LORI TRAHAN FOR CONGRESS COMMITTEE,,,,,,PO Box 1161,,Lowell,MA,018531161,,,2023-08-15,2598.19,0.00,Fundraiser food and beverage,,C00655647,,,,,,,,H,MA,03,,,,,,,,* In-Kind Received
SB21B,C00787317,500137546,,,ORG,Sail The Gift,,,,,,76 PERKINS Cv,,Ogunquit,ME,03907,,,2023-07-24,660.00,0.00,Fundraiser event space rental,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137537,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2023-07-10,130.35,0.00,Credit card processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137547,,,ORG,M.C. Perkins Cove,,,,,,111 Perkins Cove Rd,,Ogunquit,ME,03907,,,2023-07-24,142.25,0.00,Fundraiser food and beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137538,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2023-07-31,51.35,0.00,Credit card processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137548,,,ORG,M.C. Perkins Cove,,,,,,111 Perkins Cove Rd,,Ogunquit,ME,03907,,,2023-08-14,32.75,0.00,Fundraiser food and beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137539,,,ORG,ActBlue,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2023-08-01,39.50,0.00,Credit card processing fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00787317,500137549,,,ORG,The National Democratic Club,,,,,,30 Ivy St SE,,Washington,DC,200034006,,,2023-09-21,63.80,0.00,Fundraiser food and beverage,,,,,,,,,,,,,,,,,,,,
