form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00833350,500027140,,,ORG,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-01-07,1327.20,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00833350,500027185,,,ORG,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-01-14,2044.15,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00833350,500027270,,,ORG,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-01-21,1443.74,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00833350,500027285,,,ORG,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-01-28,2425.30,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00833350,500027308,,,ORG,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-01-31,1137.61,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00833350,500027335,,,ORG,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-02-04,1027.00,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00833350,500027354,,,ORG,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-02-11,2077.70,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00833350,500027402,,,ORG,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-02-18,5429.68,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00833350,500027468,,,ORG,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-02-25,3898.67,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00833350,500027486,,,ORG,ActBlue,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-02-29,3173.85,0.00,Processing Fee,,,,,,,,,,,,,,,,,,,,
