form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00687491,EB3408,,,ORG,Aurelia D' Amore Photography,,,,,,1121 E Chevy Chase Drive #7,,Glendale,CA,91205,,,2024-04-16,2655.00,,Photography for event,003,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3361,,,ORG,Goldenvoice LLC,,,,,,649 West Jefferson Blvd.,,Los Angeles,CA,90007,,,2024-04-16,78732.63,,Fundraising Event Space Rental,003,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3598,,,ORG,Goldenvoice LLC,,,,,,649 West Jefferson Blvd.,,Los Angeles,CA,90007,,,2024-05-16,4264.22,,Fundraising Event Space Rental,003,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3353,,,ORG,"Images by Lighting, LLC",,,,,,5335 W. 102nd Street,,Los Angeles,CA,90045,,,2024-04-08,21917.72,,Fundraiser Technical Expenses,003,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3368,,,ORG,"Images by Lighting, LLC",,,,,,5335 W. 102nd Street,,Los Angeles,CA,90045,,,2024-04-16,21917.71,,Fundraiser Technical Expenses,003,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3634,,,PAC,MinxFilms,,,,,,522 North Mariposa Avenue,,Los Angeles,CA,90004,,,2024-06-07,1900.00,,Film Production,003,,MinxFilms,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3409,,,ORG,Modern Illumination Productions (MIP),,,,,,26529 Ruether Avenue,,Santa Monica,CA,91350,,,2024-04-16,1050.00,,Media Production for Event,003,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3465,,,ORG,Modern Illumination Productions (MIP),,,,,,26529 Ruether Avenue,,Santa Monica,CA,91350,,,2024-04-24,6755.00,,Audio and Visual Equipment for Fundraiser,003,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3407,,,ORG,"Olson Remcho, LLP",,,,,,"555 Capitol Mall, Suite 400",,Sacramento,CA,95814,,,2024-04-16,7671.50,,Legal and Reporting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3604,,,ORG,"Olson Remcho, LLP",,,,,,"555 Capitol Mall, Suite 400",,Sacramento,CA,95814,,,2024-05-20,10471.16,,Legal and Reporting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3642,,,ORG,"Olson Remcho, LLP",,,,,,"555 Capitol Mall, Suite 400",,Sacramento,CA,95814,,,2024-06-18,11123.51,,Legal and Reporting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3602,,,ORG,Paragon Payment Solutions,,,,,,"2141 East Broadway Road, Suite 202",,Tempe,AZ,85282,,,2024-04-02,3250.50,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3640,,,ORG,Paragon Payment Solutions,,,,,,"2141 East Broadway Road, Suite 202",,Tempe,AZ,85282,,,2024-05-02,5207.21,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3653,,,ORG,Paragon Payment Solutions,,,,,,"2141 East Broadway Road, Suite 202",,Tempe,AZ,85282,,,2024-06-03,103.38,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3442,,,ORG,Planned Parenthood Advocacy Project Los Angeles County,,,,,,400 West 30th Street,,Los Angeles,CA,90007,,,2024-04-23,2337.43,,Reimbursement for Resource Sharing Agreement Costs,001,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3470,,,ORG,Planned Parenthood Advocacy Project Los Angeles County,,,,,,400 West 30th Street,,Los Angeles,CA,90007,,,2024-04-24,9474.04,,Staff Time for Non-Federal Activity,001,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3468,,,ORG,Planned Parenthood Advocacy Project Los Angeles County,,,,,,400 West 30th Street,,Los Angeles,CA,90007,,,2024-04-24,4234.38,,Staff Time for Non-Federal Activity,001,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3619,,,ORG,Planned Parenthood Advocacy Project Los Angeles County,,,,,,400 West 30th Street,,Los Angeles,CA,90007,,,2024-05-22,2337.43,,Reimbursement for Resource Sharing Agreement Costs,001,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3641,,,ORG,Planned Parenthood Advocacy Project Los Angeles County,,,,,,400 West 30th Street,,Los Angeles,CA,90007,,,2024-05-28,48601.61,,Staff Time for Non-Federal Activity,001,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3632,,,ORG,Planned Parenthood Advocacy Project Los Angeles County,,,,,,400 West 30th Street,,Los Angeles,CA,90007,,,2024-06-04,3812.98,,Fundraising Event Supplies,003,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3643,,,ORG,Planned Parenthood Advocacy Project Los Angeles County,,,,,,400 West 30th Street,,Los Angeles,CA,90007,,,2024-06-19,2100.12,,Staff Time for Non-Federal Activity,001,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,NB3476,,,COM,Planned Parenthood Votes,,,,,,"123 William Street, 10th Floor",,New York,NY,10038,,,2024-04-20,8189.75,,In-kind: Staff Time and List Rental,,,Planned Parenthood Votes,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3440,,,IND,,Porter,Marlee,,,,5006 Pendleton Court,,Los Angeles,CA,90056,,,2024-04-23,500.00,,Fundraising Entertainment,003,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3376,,,ORG,SLP Tacer Operating LLC dba Town & Country Event Rentals,,,,,,7725 Airport Business Parkway,,Van Nuys,CA,91406,,,2024-04-16,27671.83,,Fundraising Supplies,003,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3439,,,IND,,Stewart,Joshua,,,,"190 Garfield Place, Apartment 4J",,Brooklyn,NY,11215,,,2024-04-23,3347.50,,Documentary Film Project,003,,,,,,,,,,,,,,,,,,,
SB21B,C00687491,EB3633,,,IND,,Stewart,Joshua,,,,"190 Garfield Place, Apartment 4J",,Brooklyn,NY,11215,,,2024-06-07,3900.00,,Documentary Film Project,003,,,,,,,,,,,,,,,,,,,
