form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00716423,501181961,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-06-30,990.98,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181897,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-04-26,45.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181945,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-04-30,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181861,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-06-24,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181941,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-06-24,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181942,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-06-24,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181943,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-06-24,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181944,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-06-24,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181937,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-06-25,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181938,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-06-25,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181939,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-06-25,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181940,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-06-25,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181934,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-06-27,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181935,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-06-27,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00716423,501181936,,,ORG,Wells Fargo Bank,,,,,,1329 Wisconsin Ave NW,,Washington,DC,200073399,,,2024-06-27,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
