form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00750182,SB21B.6001,,,ORG,ADVANCED AVIATION TEAM,,,,,,4201 WILSON BLVD,3RD FLOOR,ARLINGTON,VA,22203,,,2023-05-17,32657.12,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6002,,,ORG,ALASKA AIRLINES,,,,,,P.O. BOX 68900,,SEATTLE,WA,98168,,,2023-03-15,1228.90,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6051,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2023-01-13,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6052,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2023-03-16,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6053,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2023-03-28,1529.21,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6054,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2023-04-11,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6055,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2023-05-31,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6056,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2023-06-16,1500.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6057,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT ST,STE 401,BEVERLY,MA,01915,,,2023-06-23,28.35,,COMPLIANCE CONSULTING EXPENSES: POSTAGE AND DELIVERY,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6003,,,ORG,BUXTON BOOKS,,,,,,PO BOX 22604,,CHARLESTON,SC,29413,,,2023-04-19,5055.86,,CONTRIBUTOR COLLATERAL: BOOKS,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6014,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-05-17,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6015,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-06-20,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6016,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-06-23,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6017,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-06-27,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6018,,,ORG,"CHAIN BRIDGE BANK, N.A.",,,,,,1445-A LAUGHLIN AVE.,,MCLEAN,VA,22101,,,2023-06-29,25.00,,BANK FEE,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6019,,,ORG,DELTA AIRLINES,,,,,,1030 DELTA BLVD,,ATLANTA,GA,30320,,,2023-03-27,2260.20,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6020,,,ORG,DICKINSON WRIGHT PLLC,,,,,,2600 W BIG BEAVER,STE 300,TROY,MI,48084,,,2023-01-12,2206.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6021,,,ORG,DICKINSON WRIGHT PLLC,,,,,,2600 W BIG BEAVER,STE 300,TROY,MI,48084,,,2023-03-03,3405.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6022,,,ORG,DICKINSON WRIGHT PLLC,,,,,,2600 W BIG BEAVER,STE 300,TROY,MI,48084,,,2023-03-29,354.50,,LEGAL CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6023,,,ORG,DREA BYARS,,,,,,171 CARRIAGE HILL DR.,,LEXINGTON,SC,29072,,,2023-03-16,53500.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6088,,,IND,,ELLISON,LAWRENCE,,,,101 YGNACIO VALLEY ROAD,SUITE 320,WALNUT CREEK,CA,94596,,,2023-03-23,2566.13,,IN KIND: TRAVEL: LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6025,,,ORG,EXPEDIA,,,,,,1111 EXPEDIA GROUP WAY W,,SEATTLE,WA,98119,,,2023-05-18,1169.55,,TRAVEL: AIR,,,,,,,,,,,,,,,,,,,,
SB21B,C00750182,SB21B.6028,,,ORG,"MOUNTAINTOP ADVISORS, LLC",,,,,,1100 NEW JERSEY AVE SE,STE 2163,WASHINGTON,DC,20003,,,2023-01-19,187000.00,,FUNDRAISING AND STRATEGY CONSULTING,,,,,,,,,,,,,,,,,,,,
