form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00872887,SB21B.I3,,,ORG,QUICKBOOKS,,,,,,2632 MARINE WAY,,MOUNTAIN VIEW,CA,94043,,,2024-03-11,132.63,,ACCOUNTING SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00872887,SB21B.1342,,,PAC,THE GREAT TASK,,,,,,P.O. BOX 16272,,ALEXANDRIA,VA,22302    ,,,2024-03-11,3640.00,,IN-KIND CONTRIBUTION,,C00607556,,,,,,,,,,,  ,,,,,,,IN-KIND WEBSITE DOMAIN TRANSFER
SB21B,C00872887,SB21B.2357,,,PAC,THE GREAT TASK,,,,,,P.O. BOX 16272,,ALEXANDRIA,VA,22302    ,,,2024-03-11,1714.44,,IN-KIND CONTRIBUTION,,C00607556,,,,,,,,,,,  ,,,,,,,IN-KIND MERCHANDISE (T-SHIRTS)
SB21B,C00872887,SB21B.2358,,,PAC,THE GREAT TASK,,,,,,P.O. BOX 16272,,ALEXANDRIA,VA,22302    ,,,2024-03-11,126.72,,IN-KIND CONTRIBUTION,,C00607556,,,,,,,,,,,  ,,,,,,,IN-KIND MERCHANDISE (MUGS)
SB21B,C00872887,SB21B.I4,,,ORG,HARDHITS LLC,,,,,,7204 SOUTH HILL DRIVE,,MANASSAS,VA,20109,,,2024-03-12,4761.62,,MERCHANDISE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00872887,SB21B.I7,,,ORG,CSC GLOBAL,,,,,,251 LITTLE FALLS DRIVE,,WILMINGTON,DE,19808,,,2024-03-21,658.47,,COMPLIANCE FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00872887,SB21B.I6,,,ORG,DISCOUNTMUGS.COM,,,,,,12610 NW 115TH AVE,,MIAMI,FL,33178,,,2024-03-21,809.31,,MERCHANDISE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00872887,SB21B.I5,,,ORG,CMDI,,,,,,7704 LEESBURG PIKE,,FALLS CHURCH,VA,22043,,,2024-03-26,500.00,,DATABASE SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00872887,SB21B.I2,,,ORG,WELLS FARGO,,,,,,1700 FERN ST,,ALEXANDRIA,VA,22302,,,2024-03-26,12.00,,BANK FEE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00872887,SB21B.I1,,,ORG,ANEDOT,,,,,,PO BOX 84314,,BATON ROUGE,LA,70884,,,2024-03-31,7859.63,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00872887,SB21B.I9,,,ORG,STRIPE,,,,,,354 OYSTER PT BLVD,,SAN FRANCISCO,CA,94080,,,2024-03-31,72.58,,MERCHANT FEE,,,,,,,,,,,,,  ,,,,,,,
