form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00611202,SB21B.5235,,,ORG,"Constantine Financial Services, Inc.",,,,,,2961-A Hunter Mill Rd. Ste. 808,,Oakton,VA,22124,,,2024-07-22,975.00,,Accounting,001,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
SB21B,C00611202,SB21B.5236,,,ORG,Deerfield Printing,,,,,,3509 Harrison Ave,,Cincinnati,OH,45211,,,2024-09-26,348.19,,Advertisements,004,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
SB21B,C00611202,SB21B.5241,,,ORG,Easy Order Banners,,,,,,PO Box 432,,Hatfield,PA,19440,,,2024-08-26,354.48,,Advertising Banner,004,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
SB21B,C00611202,SB21B.5243,,,ORG,Easy Order Banners,,,,,,PO Box 432,,Hatfield,PA,19440,,,2024-08-26,226.83,,Advertising Banner,004,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
SB21B,C00611202,SB21B.5244,,,ORG,Easy Order Banners,,,,,,PO Box 432,,Hatfield,PA,19440,,,2024-08-26,71.78,,Advertising Banner,004,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
SB21B,C00611202,SB21B.5242,,,ORG,Easy Order Banners,,,,,,PO Box 432,,Hatfield,PA,19440,,,2024-08-29,247.12,,Advertising Banner,004,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
SB21B,C00611202,SB21B.5239,,,ORG,Easy Order Banners,,,,,,PO Box 432,,Hatfield,PA,19440,,,2024-09-17,566.00,,Advertising Banner,004,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
SB21B,C00611202,SB21B.5240,,,ORG,Easy Order Banners,,,,,,PO Box 432,,Hatfield,PA,19440,,,2024-09-17,425.00,,Advertising Banner,004,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
SB21B,C00611202,SB21B.5238,,,ORG,Easy Order Banners,,,,,,PO Box 432,,Hatfield,PA,19440,,,2024-09-30,2799.00,,Advertising Banner,004,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
SB21B,C00611202,SB21B.5245,,,ORG,Kenjoh Outdoor Advertising,,,,,,2801 East Camelback Road,,Phoenix,AZ,85016,,,2024-09-13,3200.00,,Advertising Banners,004,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
SB21B,C00611202,SB21B.5247,,,ORG,Kenjoh Outdoor Advertising,,,,,,2801 East Camelback Road,,Phoenix,AZ,85016,,,2024-09-27,1700.00,,Advertising Banners,004,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
SB21B,C00611202,SB21B.5248,,,ORG,OUTFRONT Media,,,,,,7500 Pinque Drive,,Columbus,OH,43085,,,2024-09-11,6220.00,,Advertisement,004,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
SB21B,C00611202,SB21B.5256,,,ORG,Restore Liberty USA,,,,,,7237 Austin Woods Lane,,Cincinnati,OH,45247,O2024,None,2024-07-10,220.00,,Advertisment,004,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
SB21B,C00611202,SB21B.5255,,,ORG,"TRZ Communications Services, Inc.",,,,,,PO Box 6211,,Akron,OH,44312,O2024,NONE,2024-07-01,2000.00,,Polling Calls,005,C00611202,FREEDOM FOR ALL PAC,,,,,,,,,,,,,,,,,
