form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00819102,SB23.1005680,,,CCM,BRANDON FOR CONGRESS NY22,,,,,,PO BOX 3580,,SYRACUSE,NY,13220,G2024,,2024-06-27,2000.00,,FEDERAL CONTRIBUTION,,C00806307,BRANDON FOR CONGRESS NY22,H2NY22212,WILLIAMS,BRANDON,MCDONALD,,,H,NY,22,,,,,,
SB23,C00819102,SB23.1004127,,,CCM,BRIAN FITZPATRICK FOR ALL OF US,,,,,,PO BOX 939,,LANGHORNE,PA,19047,G2024,,2024-06-20,5000.00,,FEDERAL CONTRIBUTION,,C00607416,BRIAN FITZPATRICK FOR ALL OF US,H6PA08277,FITZPATRICK,BRIAN,,,,H,PA,08,,,,,,
SB23,C00819102,SB23.1004865,,,CCM,CISCOMANI FOR CONGRESS,,,,,,PO BOX 35103,,TUCSON,AZ,85740,P2024,,2024-06-25,1000.00,,FEDERAL CONTRIBUTION,,C00786194,CISCOMANI FOR CONGRESS,H2AZ02360,CISCOMANI,JUAN,,,,H,AZ,02,,,,,,
SB23,C00819102,SB23.1005090,,,CCM,LAUREL LEE FOR CONGRESS,,,,,,P.O. BOX 47556,,TAMPA,FL,33646,P2024,,2024-06-26,2000.00,,FEDERAL CONTRIBUTION,,C00815373,LAUREL LEE FOR CONGRESS,H2FL15241,LEE,LAUREL,,,,H,FL,15,,,,,,
SB23,C00819102,SB23.1003603,,,CCM,LAWLER FOR CONGRESS,,,,,,PO BOX 87,,SOUTH SALEM,NY,10590,P2024,,2024-06-17,1700.00,,FEDERAL CONTRIBUTION,,C00815415,LAWLER FOR CONGRESS,H2NY17162,LAWLER,MICHAEL,VINCENT,,,H,NY,17,,,,,,
SB23,C00819102,SB23.1004243,,,CCM,MARIO DIAZ-BALART FOR CONGRESS,,,,,,8724 SW 72ND ST,#420,MIAMI,FL,33173,P2024,,2024-06-20,2000.00,,FEDERAL CONTRIBUTION,,C00376087,MARIO DIAZ-BALART FOR CONGRESS,H2FL25018,DIAZ-BALART,MARIO,,,,H,FL,25,,,,,,
SB23,C00819102,SB23.1004129,,,CCM,MIKE GARCIA FOR CONGRESS,,,,,,515 S FIGUEROA ST,16TH FL,LOS ANGELES,CA,90071,G2024,,2024-06-20,2500.00,,FEDERAL CONTRIBUTION,,C00701102,MIKE GARCIA FOR CONGRESS,H0CA25105,GARCIA,MICHAEL,,,,H,CA,25,,,,,,
SB23,C00819102,SB23.1005204,,,CCM,MONICA FOR CONGRESS,,,,,,1317 W FRONTAGE RD,STE A,ALAMO,TX,78516,G2024,,2024-06-26,2500.00,,FEDERAL CONTRIBUTION,,C00765719,MONICA FOR CONGRESS,H0TX15124,DE LA CRUZ,MONICA,,,,H,TX,15,,,,,,
SB23,C00819102,SB23.1005947,,,CCM,VALADAO FOR CONGRESS,,,,,,5132 NORTH PALM AVENUE,#227,FRESNO,CA,93704,G2024,,2024-06-28,3000.00,,FEDERAL CONTRIBUTION,,C00499392,VALADAO FOR CONGRESS,H2CA20094,VALADAO,DAVID,,,,H,CA,20,,,,,,
SB23,C00819102,SB23.1006041,,,CCM,VAN ORDEN FOR CONGRESS,,,,,,PO BOX 1836,,LA CROSSE,WI,54602,P2024,,2024-06-28,3000.00,,FEDERAL CONTRIBUTION,,C00742007,VAN ORDEN FOR CONGRESS,H0WI03175,VAN ORDEN,DERRICK,F,MR,,H,WI,10,,,,,,
SB23,C00819102,SB23.1005808,,,CCM,YOUNG KIM FOR CONGRESS,,,,,,PO BOX 2186,,FULLERTON,CA,92837,G2024,,2024-06-28,1700.00,,FEDERAL CONTRIBUTION,,C00665638,YOUNG KIM FOR CONGRESS,H8CA39240,KIM,YOUNG,,,,H,CA,39,,,,,,
