form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00890939,500978740,,,ORG,ActBlue Technical Services,,,,,,PO Box 382110,,Cambridge,MA,022382110,,,2024-11-25,1541.80,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978741,,,ORG,Switchboard,,,,,,2001 K St NW,,Washington,DC,200061037,,,2024-11-12,1322.43,0.00,Texting,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978760,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-10-28,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978761,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-10-29,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978762,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-10-29,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978763,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-10-29,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978764,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-10-29,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978765,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-10-29,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978766,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-10-29,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978767,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-10-29,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978768,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-10-29,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978769,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-10-29,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978770,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-10-31,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978771,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-11-01,15.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978772,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-11-01,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978773,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-11-01,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978774,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-11-01,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978775,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-11-04,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978776,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-11-04,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978777,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-11-04,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978778,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-11-13,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00890939,500978779,,,ORG,United Bank,,,,,,9626 Center St,,Manassas,VA,201105522,G2024,,2024-11-19,25.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
