form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00443705,EB1028,,,ORG,"NGP VAN, Inc.",,,,,,1101 15th St NW  Ste 500,,Washington,DC,20005,,,2023-07-03,94.90,,Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00443705,EB1002,,,ORG,"Miller & Olson, LLP",,,,,,20 Park Rd Ste E,,Burlingame,CA,94010,,,2023-07-14,3845.40,,Legal & Accounting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00443705,EB1027,,,ORG,CHASE CARD SERVICES,,,,,,Post Office Box 6294,,Carol Stream,IL,60197,,,2023-07-19,349.31,,Various credit card purchases. Purpose appears/appeared on Schedule B Credit Card Payee memo records,001,,,,,,,,,,,,,,,,,,,
SB21B,C00443705,EB1055,,,ORG,AT&T,,,,,,P.O. Box 5025,,Carol Stream,CA,601975025,,,2023-08-01,23.49,,Campaign Telephone,001,,,,,,,,,,,,,,,,,,,
SB21B,C00443705,EB1031,,,ORG,"NGP VAN, Inc.",,,,,,1101 15th St NW  Ste 500,,Washington,DC,20005,,,2023-08-03,94.90,,Merchant Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00443705,EB1030,,,ORG,"Miller & Olson, LLP",,,,,,20 Park Rd Ste E,,Burlingame,CA,94010,,,2023-08-07,705.00,,Legal & Accounting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00443705,EB1061,,,ORG,CHASE CARD SERVICES,,,,,,Post Office Box 6294,,Carol Stream,IL,60197,,,2023-08-18,578.93,,Various credit card purchases. Purpose appears/appeared on Schedule B Credit Card Payee memo records,001,,,,,,,,,,,,,,,,,,,
SB21B,C00443705,XB686EB1061,EB1061,SB21B,ORG,Apple,,,,,,1301 Burlingame Ave,,Burlingame,CA,94010,,,2023-08-18,9.99,,Computer Service Fee,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,XB687EB1061,EB1061,SB21B,ORG,Audible.com,,,,,,1 Washington Park,,Newark,NJ,07102,,,2023-08-18,14.95,,Podcast Subscription,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,XB688EB1061,EB1061,SB21B,ORG,Apple,,,,,,1301 Burlingame Ave,,Burlingame,CA,94010,,,2023-08-18,2.99,,Computer Service Fee,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,XB689EB1061,EB1061,SB21B,ORG,Public Storage,,,,,,1761 Adrian Rd,,Burlingame,CA,94010,,,2023-08-18,551.00,,Storage Fee,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,EB1035,,,ORG,CHASE CARD SERVICES,,,,,,Post Office Box 6294,,Carol Stream,IL,60197,,,2023-09-13,583.78,,Various credit card purchases. Purpose appears/appeared on Schedule B Credit Card Payee memo records,001,,,,,,,,,,,,,,,,,,,
SB21B,C00443705,XB667EB1035,EB1035,SB21B,ORG,Audible.com,,,,,,1 Washington Park,,Newark,NJ,07102,,,2023-09-13,14.95,,Podcast Subscription,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,XB666EB1035,EB1035,SB21B,ORG,Apple,,,,,,1301 Burlingame Ave,,Burlingame,CA,94010,,,2023-09-13,12.98,,Computer Service Fee,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,XB668EB1035,EB1035,SB21B,ORG,City of San Francisco,,,,,,1 Doctor Carlton B Goodlett Place,,San Francisco,CA,94102,,,2023-09-13,4.85,,Parking Fee,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,XB669EB1035,EB1035,SB21B,ORG,Public Storage,,,,,,1761 Adrian Rd,,Burlingame,CA,94010,,,2023-09-13,551.00,,Monthly Storage Space Fee,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,EB1033,,,ORG,"Miller & Olson, LLP",,,,,,20 Park Rd Ste E,,Burlingame,CA,94010,,,2023-09-15,245.00,,Legal & Accounting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00443705,EB1040,,,ORG,CHASE CARD SERVICES,,,,,,Post Office Box 6294,,Carol Stream,IL,60197,,,2023-10-12,892.03,,Various credit card purchases. Purpose appears/appeared on Schedule B Credit Card Payee memo records,001,,,,,,,,,,,,,,,,,,,
SB21B,C00443705,XB672EB1040,EB1040,SB21B,ORG,Bulwark Media,,,,,,"925 15th St NW, 5th Floor",,Washington,DC,20005,,,2023-10-12,100.00,,Subscription Service,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,XB694EB1040,EB1040,SB21B,ORG,Apple,,,,,,1301 Burlingame Ave,,Burlingame,CA,94010,,,2023-10-12,27.97,,Computer Service Fee,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,XB674EB1040,EB1040,SB21B,ORG,"The Tavern, Belmont",,,,,,1015 Alameda de las Pulgas,,Belmont,CA,94002,,,2023-10-12,63.63,,Food and Beverages,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,XB673EB1040,EB1040,SB21B,ORG,Mendocino Farms,,,,,,1060 Park Place,,San Mateo,CA,94403,,,2023-10-12,54.43,,Food and Beverages,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,XB676EB1040,EB1040,SB21B,ORG,CHASE CARD SERVICES,,,,,,Post Office Box 6294,,Carol Stream,IL,60197,,,2023-10-12,95.00,,Annual Credit Card Fee,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,XB693EB1040,EB1040,SB21B,ORG,Public Storage,,,,,,1761 Adrian Rd,,Burlingame,CA,94010,,,2023-10-12,551.00,,Storage Fee,001,,,,,,,,,,,,CHASE CARD SERVICES,Post Office Box 6294,,Carol Stream,IL,60197,X,
SB21B,C00443705,EB1041,,,ORG,Law Office of Russell H. Miller,,,,,,"20 Park Road, Suite E",,Burlingame,CA,94010,,,2023-10-19,5781.00,,Legal & Accounting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00443705,EB1042,,,ORG,Law Office of Russell H. Miller,,,,,,"20 Park Road, Suite E",,Burlingame,CA,94010,,,2023-11-06,240.16,,Legal & Accounting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00443705,EB1062,,,ORG,CHASE CARD SERVICES,,,,,,Post Office Box 6294,,Carol Stream,IL,60197,,,2023-11-10,609.96,,"Storage Fee, Travel",001,,,,,,,,,,,,,,,,,,,
